RowNames	MMRS11288076ST.27.0.0	MMRS11664448ST.27.0.0	MMRS11932626ST.27.0.0	MMRS12272136ST.27.0.0	MMRS14379078ST.27.0.0	MMRS14602194ST.27.0.0	MMRS15137911ST.27.0.0	MMRS16644320ST.27.0.0	MMRS17603756ST.27.0.0	MMRS17963147ST.27.0.0	MMRS18295921ST.27.0.0	MMRS20257302ST.27.0.0	MMRS21365932ST.27.0.0	MMRS24340226ST.27.0.0	MMRS25211151ST.27.0.0	MMRS25641480ST.27.0.0	MMRS29805707ST.27.0.0	MMRS31306426ST.27.0.0	MMRS32573774ST.27.0.0	MMRS33294861ST.27.0.0	MMRS34525504ST.27.0.0	MMRS34569532ST.27.0.0	MMRS35808664ST.27.0.0	MMRS36405092ST.27.0.0	MMRS38861560ST.27.0.0	MMRS38954404ST.27.0.0	MMRS39415781ST.27.0.0	MMRS39582183ST.27.0.0	MMRS40913371ST.27.0.0	MMRS41266697ST.27.0.0	MMRS41711735ST.27.0.0	MMRS42570301ST.27.0.0	MMRS42780924ST.27.0.0	MMRS43563715ST.27.0.0	MMRS43939546ST.27.0.0	MMRS44197125ST.27.0.0	MMRS44203591ST.27.0.0	MMRS44587603ST.27.0.0	MMRS47662059ST.27.0.0	MMRS47685461ST.27.0.0	MMRS48639115ST.27.0.0	MMRS51307502ST.27.0.0	MMRS51410669ST.27.0.0	MMRS51728985ST.27.0.0	MMRS51737257ST.27.0.0	MMRS54246132ST.27.0.0	MMRS54316675ST.27.0.0	MMRS55294627ST.27.0.0	MMRS56137463ST.27.0.0	MMRS57276462ST.27.0.0	MMRS57569834ST.27.0.0	MMRS59699117ST.27.0.0	MMRS61683006ST.27.0.0	MMRS62192467ST.27.0.0	MMRS62376181ST.27.0.0	MMRS62666492ST.27.0.0	MMRS64281211ST.27.0.0	MMRS64281551ST.27.0.0	MMRS65205033ST.27.0.0	MMRS65742083ST.27.0.0	MMRS65862658ST.27.0.0	MMRS65945127ST.27.0.0	MMRS66868025ST.27.0.0	MMRS67096717ST.27.0.0	MMRS67247116ST.27.0.0	MMRS67690541ST.27.0.0	MMRS68630931ST.27.0.0	MMRS68910755ST.27.0.0	MMRS71238091ST.27.0.0	MMRS71762412ST.27.0.0	MMRS72802364ST.27.0.0	MMRS72980899ST.27.0.0	MMRS73787048ST.27.0.0	MMRS77018926ST.27.0.0	MMRS77321055ST.27.0.0	MMRS77487595ST.27.0.0	MMRS78791111ST.27.0.0	MMRS79893829ST.27.0.0	MMRS80093644ST.27.0.0	MMRS81130264ST.27.0.0	MMRS81135225ST.27.0.0	MMRS81194191ST.27.0.0	MMRS81671217ST.27.0.0	MMRS84085284ST.27.0.0	MMRS84159866ST.27.0.0	MMRS84954772ST.27.0.0	MMRS85382779ST.27.0.0	MMRS85438660ST.27.0.0	MMRS85548821ST.27.0.0	MMRS86168210ST.27.0.0	MMRS86178473ST.27.0.0	MMRS86958796ST.27.0.0	MMRS87723283ST.27.0.0	MMRS88581325ST.27.0.0	MMRS90191266ST.27.0.0	MMRS91297590ST.27.0.0	MMRS92544445ST.27.0.0	MMRS92546335ST.27.0.0	MMRS92727331ST.27.0.0	MMRS93508324ST.27.0.0	MMRS93621581ST.27.0.0	MMRS94549160ST.27.0.0	MMRS95277876ST.27.0.0	MMRS95479054ST.27.0.0	MMRS95674036ST.27.0.0	MMRS96422329ST.27.0.0	MMRS97052561ST.27.0.0	MMRS97307143ST.27.0.0	MMRS97327636ST.27.0.0	MMRS99045180ST.27.0.0
Enterocloster citroniae	17830	0	2816	24148	3103	2649	31581	4863	190636	9557	0	44741	34487	8596	4855	21034	21628	4275	19781	2890	906	0	0	10731	895	0	0	0	10991	30500	51517	6026	19031	18348	13469	0	19488	5075	0	47460	4002	1304	0	0	14154	0	0	18431	16781	0	9088	19525	8543	0	24363	0	13326	366	0	0	10046	0	0	1571	7123	0	13702	7897	10601	11743	5462	88318	8168	2303	11960	0	33602	0	78841	30342	32773	31075	0	0	0	13663	0	0	41876	0	0	4606	32147	594	0	1779	19721	37357	1242	0	17371	0	0	831	0	4325	12329	15247	10439	0
Firmicutes bacterium CAG:94	14984	2334	34104	0	0	0	357623	38938	0	64070	745	0	0	86782	419	0	0	0	0	513	0	0	0	26855	98438	13194	0	8181	220785	7889	0	46442	0	0	0	2641	0	0	9637	0	0	29412	30768	0	0	0	5724	0	0	0	36352	0	0	0	0	0	111640	0	0	0	0	0	0	2346	253440	1528	5991	0	54207	397307	0	0	0	0	6757	137312	0	10892	444201	0	0	0	0	0	68104	0	0	0	107337	0	0	13615	3963	14837	460	43710	220538	0	206960	6995	0	0	23281	0	0	34297	81908	0	100699	0
Bacteroides xylanisolvens	13952	137012	169434	43439	0	31305	0	361441	2125139	0	52475	14972	0	0	0	89472	147666	35221	79300	1125097	886	143844	131435	15039	263773	246389	0	118156	0	705213	277618	34083	232577	275261	972593	562312	15782	81815	46490	0	0	16722	97599	0	0	2355	112543	1070	218788	13803	5098	0	0	0	1067116	90320	2645489	1402	0	1764	817411	0	150811	1303	0	69152	5925	338433	38358	1695029	0	0	0	20846	0	133526	165035	3213	854	1221	919776	1163696	126901	0	45148	12177	253007	0	3725920	20579	0	746096	0	12884	118014	0	0	519074	0	1296	42313	0	21619	5132	27641	0	0	38911	0	0
[Ruminococcus] lactaris	12817	0	0	2119529	299305	773544	0	130486	0	751347	824783	12404	230625	159	2791281	0	0	0	1870794	914717	25400	465765	34941	173440	0	777076	0	885654	0	0	0	0	0	620371	0	0	4132	0	963592	0	334349	108174	939535	0	801818	0	64598	0	0	313989	1592818	504	0	0	0	997	0	755615	351591	660942	0	0	152466	0	0	0	0	0	0	0	0	0	0	31846	0	0	0	52077	0	269004	0	0	1648887	0	1097356	611474	598180	0	0	52426	0	525417	428903	2333447	0	0	0	12994	6824	0	0	0	120	701954	0	78219	0	90911	0	0
Escherichia coli	12240	4265	34833	0	1159	711464	1167671	392262	0	0	0	182387	0	5843	172184	2362	5051	19952	124502	50226	40466	2764	7073523	3586	10579	5095	0	0	0	3753993	13186262	0	412	6011	362710	0	138795	2336	1485856	194058	3665	1699	587	1371831	186721	1690	1368630	4557	477407	0	0	0	0	910	2867	4240	4201800	427628	46469	0	0	1893348	3490	100209	38768	530	5951	595	0	242419	53099	182302	249706	0	22132	1810924	0	2981	1262477	6193	0	64130	125154	0	0	14040	1629224	0	524	29333	13821	24566	0	39557	5004	3204	363988	7499	3569	41058	104713	964937	41220	0	0	2384	0	0	67475	0
Blautia sp. CAG:257	11411	0	0	0	0	0	519218	2300	5197	71122	0	20461	0	369005	8130	0	0	1100595	0	0	0	0	0	6252	7878	1663	511523	0	600949	443317	72921	0	1281246	0	2296	199238	496886	0	0	5646941	0	0	7689	0	0	0	0	1564	126	0	283177	178801	51768	5599617	314734	0	833492	4169	0	0	0	2869759	0	2809	12163	0	57933	211530	0	74730	14713	320350	0	0	0	0	17361	24907	0	60933	0	0	0	32544	0	0	0	0	125833	0	26822	9080	225952	0	0	794167	648	0	159176	0	75162	0	0	0	784586	0	0	0	0	81571
Erysipelatoclostridium ramosum	11404	0	0	0	8877	2641	152446	224	0	0	0	0	6136	374688	70331	10988	0	11198	71250	0	0	0	5296	43078	0	2911	222459	0	102971	28423	1215	29404	23207	1476	365760	571	9101	0	0	260888	9578	0	0	0	374126	0	0	19164	38825	0	53013	279642	8574	1998906	79622	14093	216650	1055	0	0	0	710211	606	0	0	0	7540	1237562	33305	4670	151828	1565630	10921	0	51747	0	25644	0	215341	10084	0	230793	63263	9371	0	0	0	3782062	65046	0	65517	0	33809	0	0	36453	112466	185036	0	0	0	0	0	0	181279	0	1741	0	334815	0
Flavonifractor sp. An100	11031	0	0	0	0	0	3039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24069	0	0	0	0	3046	0	0	0	0	0	0	1713	0	0	0	0	0	0	0	0	0	2104	0	0	802	0	0	0	0	1654	0	0	0	0	11210	0	0
Enterocloster lavalensis	10698	0	0	1671	0	5796	3875	271	293880	25297	0	3079	32137	20929	14114	30154	748	2080	12519	3341	0	0	0	6842	686	2306	138406	0	0	32507	48523	23863	52619	19663	6905	2466	23819	5489	5162	73330	0	0	5094	0	40078	0	0	8224	18802	0	10029	0	10793	368429	1628	426	42548	0	0	21983	217	0	25821	0	10059	0	6650	67355	28455	0	1078	13609	0	7042	180	0	21986	2551	24226	16367	2328	5813	0	6279	0	5927	1811	0	16095	0	46257	82	36690	0	0	73804	54059	71931	132764	4179	30157	0	0	0	18167	9995	0	597	46055	19857
Alistipes indistinctus	10236	7818	52838	9568	0	0	0	262	0	84491	31734	44991	9006	0	101479	0	2230	19136	89455	30250	118951	101993	10303	10483	122662	54659	0	160614	22094	0	0	71104	2855	78029	43649	0	0	50784	0	0	0	62664	30658	0	51237	0	308533	46538	0	3575	0	0	0	0	17688	3906	129695	18566	0	0	10172	0	0	8391	0	8083	51685	118545	89029	330981	14628	49037	0	101902	0	294056	26340	0	0	0	68687	12467	259187	0	0	38905	29003	0	130346	0	0	0	12072	89814	0	0	205658	80581	0	0	0	18974	17550	15495	0	92583	113863	6462	0	0
Haemophilus parainfluenzae	9509	0	0	1260	55646	0	0	0	0	9833	13667	0	0	14016	965	0	1453	0	46521	8793	33963	839	38829	8291	0	0	0	0	0	0	7352	2881	0	8090	0	0	0	1697	0	0	18355	0	0	6465	0	11206	0	0	0	71531	0	0	0	59404	22474	28957	0	45440	44756	59051	214250	0	0	0	0	847	3157	0	1134	0	33548	44122	0	0	17456	0	464	0	0	0	0	0	1842	0	7815	0	15223	0	0	1228	122949	7200	0	0	651	0	3361	79924	0	0	0	63448	39009	0	34503	735	0	0	0	0
Eisenbergiella massiliensis	8531	6565	13750	7897	54769	39727	122021	0	0	77251	0	191989	19749	208723	34873	113395	0	4275	10060	0	0	0	0	9679	5610	0	47746	0	164025	25852	0	467624	23349	42867	45729	48291	325162	0	0	397319	47258	2345	3603	0	12729	66	0	0	26981	0	81618	10687	2240	2905168	167316	0	583935	10335	0	59118	1368	737408	0	0	54943	5866	0	0	638422	94119	35783	3132	25445	0	33564	0	7580	32142	0	853	9844	0	0	60179	0	69871	0	0	31163	0	726185	3720	0	0	0	374992	717383	881693	359603	655	0	0	0	0	0	1682	105974	0	59148	124888
[Clostridium] leptum	8348	68279	4113	5229	1476368	464185	866308	26885	0	12891	26610	41047	3648	110433	41055	64298	9051	450958	7188	14270	38916	4462	7711	4109	36115	86992	5499	31109	51673	48551	0	10198	1527741	140912	11206	115510	2875	2571	1700	17757	1304251	8947	6564	0	257919	21461	2137	66151	6470	13212	400251	462	458336	70805	5570	4558	13618	5420	208	2173	18023	0	144	173480	383072	94850	13946	161019	18169	342888	645883	2010565	65572	6863	16969	11171	521198	101	311873	99479	46672	230	91751	67682	4247	44110	1528	0	134931	6166	673401	28194	4222	23692	26441	19511	168699	26637	14378	131307	32294	118106	9993	6708	6376	45571	21324	50832	1266375	17235
Veillonella infantium	8035	0	0	0	40956	0	0	0	2068	364	25602	0	0	0	0	0	0	0	46219	445	2276	0	72765	281	351	0	0	0	0	0	858	0	0	0	0	0	0	399	0	0	17975	0	0	7166	0	0	0	0	0	14381	0	0	0	1294	0	11944	0	0	61677	7717	82248	0	0	0	0	0	0	0	0	0	3668	10868	0	0	9011	0	2829	0	0	67313	0	0	0	0	2046	0	1946	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	16037	0	0	10213	0	0	0	0	0
Veillonella atypica	7635	0	0	0	36085	0	549	297554	39701	6769	41425	0	14940	10162	9462	0	302	0	8712	0	2559	0	22860	5459	2910	0	0	0	277	0	0	0	0	6524	0	0	2177	21541	0	0	17788	0	0	57576	0	21498	0	0	6566	41403	0	0	0	5922	4428	33160	0	12167	207545	113682	73297	28248	0	0	8288	0	0	0	0	0	5122	21420	0	0	42462	0	20117	0	0	172160	0	10805	0	0	0	0	17242	5738	0	0	24183	14466	0	0	7200	0	0	246601	0	0	0	76151	0	0	36036	0	0	0	3191	0
[Clostridium] symbiosum	6446	0	324	8395	0	97134	43327	0	44269	8136	0	33861	58606	23505	27328	61433	17339	3439	7681	908	0	0	0	7877	32676	0	130340	0	502	7155	63218	14007	369	25559	215808	21552	210978	0	0	51308	0	0	0	0	9835	0	4779	42003	36004	0	12639	52650	7787	966667	46800	0	328448	0	8165	0	1396	2249972	0	10101	5078	0	0	139785	13267	0	42160	125801	22768	0	3422	18007	10138	0	129023	0	13161	94566	0	44024	0	1038	2173	129530	3901	0	50333	62503	4680	2388	2085	5751	9367	0	3450	0	3912	0	0	0	0	12965	11102	4443	95122	6867
Turicimonas muris	6303	236538	113794	3261	0	0	0	8566	3435	1616	0	0	0	0	10376	391	24570	836	4485	22464	0	0	0	3366	0	15017	0	2519	0	2450	12442	0	15793	0	17987	0	4498	0	8257	0	0	74220	0	0	0	0	0	0	0	0	0	7344	13655	0	0	1336	0	2558	0	1265	0	0	0	26057	23885	158270	0	11124	0	5257	362	0	0	0	46118	0	0	0	5452	55607	0	0	0	0	0	15998	0	0	0	0	0	20637	10129	0	980	476994	0	0	591258	0	24740	0	5166	0	27164	31284	7923	12594	0	0
Clostridium bolteae CAG:59	5774	0	13941	681	426	10121	0	0	2120	0	0	0	0	0	19966	155908	7389	0	0	0	0	0	0	4583	3544	0	0	0	0	0	0	40815	8266	0	199	234	0	0	0	0	0	0	0	0	0	0	0	0	5529	0	0	0	0	0	0	0	0	354	0	0	0	0	0	440	0	0	0	0	30843	9913	0	0	4513	0	0	139	0	0	0	42936	21362	0	0	0	0	6415	0	0	2273	0	0	0	0	0	0	8810	0	467400	0	0	16824	0	0	0	9887	3710	1463	0	26878	0
Gordonibacter pamelaeae	5481	1751	33567	5060	15411	54387	318765	4629	7397	22630	0	479	122959	4619	2646	56885	18102	3623	14419	14943	0	6715	0	70742	5625	6083	135801	0	33325	14955	49311	40665	15069	3407	75246	19269	9066	0	0	25612	24967	91506	1449	0	5935	1441	0	23527	10134	0	31808	19100	51250	51090	2135	36300	22316	23576	0	0	33877	128085	217698	4459	793	8700	13643	4887	32982	6397	59335	66478	436984	0	51814	0	7759	3415	189582	22366	0	0	995	89703	3716	7594	2744	12901	77878	790	32792	11964	13345	12175	2472	20753	28140	1081	126655	0	4677	31628	0	2064	3924	38502	37806	213611	86133	21615
Lawsonibacter asaccharolyticus	5237	53595	48490	37213	8380	135018	348526	169368	0	384934	14741	74516	52052	41130	24745	27457	2590	482476	48472	2661	8089	20115	6423	23472	43232	65493	45505	58959	120406	279213	3129	132773	277257	29472	52684	67010	16682	26917	12324	628	1935	129180	29388	0	237	9326	37173	72437	55124	21762	1333173	78912	27020	0	35623	12483	34183	0	3494	15308	16851	28262	216063	14236	29668	37478	21282	8114	133866	37399	11173	47187	0	141353	10819	47172	37127	297773	23372	23441	18220	10920	1105	107502	128641	13356	8974	0	50936	4981	33048	106192	140196	118365	43327	1064847	26297	51395	2303662	84397	72773	2937	9296	9640	2506	1674169	24659	25613	11643	77637
Firmicutes bacterium CAG:238	4021	0	0	0	0	0	0	0	0	0	0	35754	0	0	0	0	0	0	1731	0	0	338709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10061	0	0	0	203294	0	0	23758	14345	0	0	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	0	107497	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0
Bacteroides fragilis	3885	5510	923670	211102	746819	2095	547301	89322	0	4486	24717	0	1206249	1436540	0	4513175	1609652	29945	1062031	957125	112371	206396	0	114172	1147592	3754	0	0	5567	1561696	258463	2161	272741	235236	1026387	416936	1007204	0	7245	22889	538698	0	156189	0	620567	1375	320380	395924	618012	45053	550692	1651888	861027	30919091	181734	144394	25064195	211963	293647	997188	0	4906	4813	1619859	0	4117	1147	16523023	0	819922	1082632	1971962	242192	949919	10188698	2274573	108135	577222	79914	2169348	0	356603	23825	0	0	616678	817684	0	1150006	81674	0	437808	290902	182265	48226	2724008	472252	1310	1040058	0	56352	263480	81574	0	0	289719	2616917	516229	21587992	0
Streptococcus vestibularis	3865	0	0	2769	0	0	0	652813	217839	41373	27677	6523	0	0	0	4732	0	0	1119	0	0	0	0	0	2492	0	6099	0	0	0	0	0	0	0	0	426	0	18725	0	0	6552	0	0	0	0	1492	0	0	1029	105071	22701	2255	0	0	40983	0	0	708	688099	0	37645	22668	0	0	0	2106	0	0	0	0	0	4502	0	0	10285	0	3525	0	43695	0	0	0	0	0	0	0	0	0	8862	0	0	2461	0	0	0	0	833	0	0	965	3920	0	0	0	0	0	13888	0	0	0
Firmicutes bacterium CAG:145	3641	747	7892	34814	0	3313	23805	12755	0	0	1228	0	21985	0	125202	45658	10864	0	0	0	288	18707	0	5971	0	12496	0	0	0	0	0	96700	21943	0	0	0	0	5494	0	0	0	0	0	0	63226	0	0	41015	7262	7802	112369	0	61483	0	36018	1465	1681402	8503	3484	0	28518	0	0	84605	4354	4251	0	0	140166	0	0	484312	0	0	28395	5204	0	14111	96942	0	0	809	0	0	0	18120	9312	0	0	0	0	0	22476	6844	0	0	0	0	0	11306	0	0	0	0	0	0	0	52019	0	0
Lachnoclostridium sp. An138	3281	0	0	0	0	0	0	0	0	8075	0	0	4586	0	0	1157	0	0	0	0	0	0	0	0	9892	437	14546	0	0	0	0	478	0	3394	0	24572	0	424	0	0	0	4444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2695	0	0	0	9116	0	0	0	1020	7063	0	0	0	0	0	0	0	0	0	0	5848	0	5218	0	0	0	0	0	15388	0	0	0	0	0	0	3856	0	9419	5851	0	0	0
Veillonella sp. T11011-6	3220	0	0	0	3993	0	0	0	0	0	22437	0	0	0	0	0	0	0	1657	0	0	0	10480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4430	0	0	3057	0	0	0	0	0	3554	0	0	0	0	0	501	0	0	4651	2300	4420	0	0	0	0	0	0	0	0	0	0	1282	0	0	29482	0	1034	0	0	9578	0	0	0	0	687	0	0	0	0	0	0	800	0	0	0	0	0	0	0	0	0	5365	0	0	12411	0	0	0	0	0
Intestinibacter bartlettii	3070	51672	0	0	11889	14028	0	447088	3143	24287	0	0	0	58364	0	527	12555	0	13624	0	0	0	84758	0	231768	552	0	8503	0	0	0	0	0	0	0	19090	0	0	3447	168013	6600	0	8938	0	0	2012	67981	7206	0	1223	0	0	0	6474	10072	182440	0	22717	0	0	1642	21762	0	22483	0	110968	0	0	0	0	134724	37793	1209721	0	153501	0	5400	0	0	71440	0	0	19452	72736	12451	0	40568	0	3403	0	109914	7149	0	0	46004	31089	11063	61020	0	0	0	26738	0	9059	0	12071	0	0	65029	0
Ruminococcaceae bacterium D5	3009	0	209	3800	0	1447	194459	0	0	4411	0	11414	48750	0	0	0	0	0	23721	2359	1334	18619	0	0	10556	63708	0	3253	3776	545	0	0	0	0	0	771	0	2545	4651	0	0	213246	4252	0	33275	0	32073	225863	0	387	142	0	622	0	0	11416	0	0	0	2813	0	0	0	12831	0	0	0	12349	0	125094	0	1157	0	1085	0	0	0	0	300044	0	4922	0	0	0	0	10518	7796	0	3518	16388	0	0	130	2784	3005	0	0	0	0	14182	29274	8068	13653	0	0	0	27279	0	147535	0
Turicibacter sanguinis	2309	57105	0	0	7352	0	0	0	0	10917	0	0	0	0	1149	0	0	0	6967	0	0	0	22353	0	0	0	0	0	0	0	0	0	0	0	0	1687	0	0	0	0	7716	0	0	241314	0	0	16128	2769	0	0	0	3142	933	0	0	23365	0	1042	0	0	2715	0	0	1734	0	50968	0	0	0	0	0	0	57269	0	57023	0	0	0	969	0	0	0	0	4323	0	0	0	0	0	0	7139	0	0	0	60865	0	0	0	0	0	0	19278	0	0	0	3013	0	0	0	0
Actinomyces sp. HPA0247	1630	0	0	0	0	474	10259	0	0	0	0	0	0	722	0	3990	0	0	0	0	0	0	0	0	0	0	2043	0	0	0	0	0	213	0	0	0	0	654	0	0	0	0	0	0	0	2194	0	0	0	0	0	0	0	0	13134	0	0	0	1410	0	0	0	0	0	0	0	0	0	0	0	3653	42118	0	1218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5223	0	0	1468	0	0	0	0	0	0	0	496	0	0	0	0	252	0	0	0	185	0
Bacteroides galacturonicus	1474	26862	648	0	0	3574	0	1590	0	42660	0	0	0	0	0	238423	828051	0	35239	0	6086	8546	0	148580	0	6536	1785	1420	0	0	0	0	8479	0	0	0	0	0	296784	0	0	0	121935	0	6319	0	0	0	0	63348	0	0	0	0	0	0	0	0	20003	0	36291	0	6243	0	28308	37818	59251	0	0	101971	0	0	135274	0	531113	0	350611	14742	996	0	0	0	55088	63724	0	0	0	0	0	0	479877	0	0	0	1651	0	31832	0	0	0	0	0	168583	71398	0	11514	12190	0	0	0
Adlercreutzia caecimuris	1128	1279	2283	950	236	2949	4750	0	0	606	0	0	1716	2423	1377	1955	489	0	2114	7064	0	1004	0	12521	2343	873	7793	0	8069	152	802	5648	1165	558	2006	950	0	0	0	0	1073	29472	490	0	219	0	0	1137	0	0	1470	0	4054	4453	963	1740	7797	670	0	0	2547	471	11943	7742	646	3539	732	0	3739	0	1036	5305	1414	1070	5470	0	2001	86	4614	2011	0	0	0	2860	729	244	10257	0	0	1148	2082	1442	526	1730	0	5321	717	0	35072	0	1640	488	0	2258	0	2600	1358	141178	2648	205
Anaerotruncus colihominis	903	0	0	1354	661	31503	8044	5742	56387	2196	0	299593	476	50674	13924	66109	10202	29771	3520	0	268	0	0	12637	10176	2260	117427	0	981	0	4001	45758	4403	6184	5437	64383	0	0	0	12876	1212	0	0	0	1260	541	0	45220	6292	0	219452	2727	166	0	1807	0	11792	2281	0	700	10151	0	11780	0	8337	0	0	4046	52510	17334	0	351629	0	21041	3262	822	8104	207	33454	0	3256	13791	0	85952	0	29055	0	8070	46677	0	123406	3536	0	4916	0	31342	205566	0	92173	23815	10195	0	0	8643	5132	20784	23762	16148	226779	12571
Gemella sanguinis	903	9157	0	0	5283	2752	16751	0	0	0	8602	0	0	1903	6968	0	4698	2862	13322	0	0	0	3461	3691	0	0	1352	0	0	0	0	0	5368	0	671	1738	0	4809	909	0	4141	0	0	2621	0	0	1632	0	0	7490	0	0	4645	48510	5921	0	0	0	29379	2136	6482	2812	0	3996	607	38831	6683	0	0	0	0	22872	0	0	0	0	0	0	14319	0	0	0	2657	4190	4268	0	0	0	0	0	7582	0	0	3531	0	0	0	0	0	0	0	0	0	0	9304	0	6687	0	0	922
Enorma massiliensis	890	0	959	0	0	0	0	178	0	431	1060	1529	0	229218	0	950	0	0	508	0	577	2518	0	0	0	92616	1261	0	0	0	0	66875	2471	1893	1384	0	262	1170	0	0	0	5046	1539	0	0	3321	728	0	1066	2188	2320	0	1493	0	2255	0	0	177	1395	0	0	0	7716	2503	0	388	0	0	54057	43414	0	2697	0	10415	0	497	0	0	1450	0	0	0	2147	3439	20670	0	1357	0	0	9422	0	601	1242	1947	8456	0	0	0	0	0	0	1925	3552	222	0	1302	1010	2107	0	0
Oscillibacter sp. PC13	835	1159	0	1752	0	0	0	0	0	1859	0	0	0	0	0	0	0	0	0	0	3213	0	0	0	0	912	0	0	360	0	0	5777	3210	0	290	0	0	0	0	0	0	0	0	0	913	0	0	0	0	1040	0	0	435	0	0	0	0	0	0	677	2224	0	5288	0	1615	1116	929	0	5436	0	298	0	0	2272	0	192	0	3350	0	0	2465	0	0	0	2322	2838	0	0	0	416	0	0	0	1456	0	0	0	0	0	0	12366	255	0	0	0	0	0	9617	0	0
[Eubacterium] siraeum	802	1053873	1887026	182	0	2555481	630386	13036	0	11877642	4064	4276508	1772763	19222	3510	0	198210	68043	10631732	46218	92717	179188	0	6814	96133	4141791	1002979	34138	4933826	1288422	174096	1305638	99700	6369132	289520	468285	14173	2724	63806	3945819	0	45734	13204337	1728	5836879	277957	270297	16006	0	8591967	0	0	2944609	0	0	25531	140286	9520	8200	5697772	51177	12153	218379	10518	3991845	1228509	3910100	1769036	1436589	4762783	13138	529164	3583748	7488961	0	273033	0	17948278	138361	0	29022	0	433034	0	17407045	0	292046	0	685928	4062	31087	39863	0	1640680	1841700	85113	0	2582	104953	3422468	0	224895	35132	86334	0	235	87	24159	0	0
Prevotella copri	802	172	3691	0	92	79	2113	1431	1725	0	27696067	9570	3021	673	5705	997	1907	2787	2489	2519	27440051	2815	31206886	0	4901	1686	11348	8395339	1034	1285	24570	0	2343	17430061	1674	0	14703	10744559	615	0	952	8345	663	3960	0	39055643	16313055	1976	1384	4044	14558656	0	4033	8827	1404	12301697	4428	32818117	0	14128006	2687	43640	5063	0	0	8930	2570	32981	0	2506	7873919	707	6965	5459052	961	2387	17243814	34895	3125	2843	6428	0	18037599	10602925	12296	951	1129	3463	600	3522871	22020	11745	1783	1836410	4636	8423	1434	2009163	0	6923713	951	0	0	8833735	234	0	557	4018	3877	0
[Eubacterium] rectale	713	1082374	447727	4315175	14646513	4950695	344205	4919443	624114	1676444	1220284	3688050	0	2814	716179	5615330	319406	309169	1125556	4755	519076	278069	875291	1054330	1862838	1929757	5282594	1550612	6177207	713609	4557668	0	1686636	697201	9178028	7969	3004	335222	950364	1725	15037577	3293	2955193	1186	10003972	262954	2862941	37401	2575782	5271292	3133674	3944824	2318048	3114	2877220	1076272	1293	2746192	941482	2568659	11525495	9935	13990	202342	5361524	1383621	2676	3248	1990	5334831	335381	2395	113063	4997424	5095006	1017975	4193504	309004	218844	6549969	4860742	1137	5228261	652	479172	1532974	2733093	70	2868861	79598	4870078	43394	211937	377024	84616	2460832	1562227	858	388974	3430554	8822474	864567	101019	4554453	0	646628	3754955	345623	537	3817350
Actinomyces sp. oral taxon 181	679	0	0	0	0	1226	0	0	767	0	2405	0	159	447	0	0	0	0	0	0	0	0	0	0	0	0	2932	0	0	0	0	0	0	1816	0	0	0	1007	0	0	0	0	0	1840	0	0	0	0	0	0	0	0	0	0	5010	0	0	0	13878	0	0	145	0	0	0	0	0	0	893	0	0	5217	0	0	0	0	0	0	0	0	464	0	0	0	0	692	0	0	351	0	0	173	0	0	0	747	0	0	2098	0	0	0	0	0	2713	0	0	0	0	0
Ruminococcaceae bacterium D16	516	0	0	0	0	0	409	31747	0	0	0	0	0	0	11830	2753	0	0	37205	0	0	0	0	0	0	0	0	0	0	0	0	32735	0	0	29856	0	0	0	2284	0	0	0	0	0	0	0	0	0	0	7748	0	20613	4064	0	0	0	0	0	0	0	947	0	0	0	110785	0	2478	0	38155	0	0	84442	361	0	0	0	0	399	0	0	29281	820	0	0	21845	0	0	0	0	0	7595	0	5144	753	3965	29041	0	0	51412	0	19264	0	0	0	0	0	39931	152	18640	0
Collinsella intestinalis	285	2274	1643	1307	185446	0	472	2282	1264	1475	2112	1159	1413	0	0	3663	0	453277	3174	0	1601	2998	108817	0	970	12221	11682	0	713862	0	0	1212	9004	2412	1774	1193	138354	1027	1157	0	325103	838	6143	0	831	2699	1849	0	338770	5233	108321	0	252621	2665	18129	0	0	1358	3857	0	7556	0	7129	11167	254	768	975	266	1479	493270	262	3176	0	9509	0	4256	2611	0	6180	0	1438	235	56742	778	2194	1148	2756	0	1494	7239	0	288395	450	5286	2025	0	0	0	3196	0	1094	2187	3488	4594	476525	35575	4449	5770	0	0
