RowNames	MMRS11288076ST.27.0.0	MMRS11664448ST.27.0.0	MMRS11932626ST.27.0.0	MMRS12272136ST.27.0.0	MMRS14379078ST.27.0.0	MMRS14602194ST.27.0.0	MMRS15137911ST.27.0.0	MMRS16644320ST.27.0.0	MMRS17603756ST.27.0.0	MMRS17963147ST.27.0.0	MMRS18295921ST.27.0.0	MMRS20257302ST.27.0.0	MMRS21365932ST.27.0.0	MMRS24340226ST.27.0.0	MMRS25211151ST.27.0.0	MMRS25641480ST.27.0.0	MMRS29805707ST.27.0.0	MMRS31306426ST.27.0.0	MMRS32573774ST.27.0.0	MMRS33294861ST.27.0.0	MMRS34525504ST.27.0.0	MMRS34569532ST.27.0.0	MMRS35808664ST.27.0.0	MMRS36405092ST.27.0.0	MMRS38861560ST.27.0.0	MMRS38954404ST.27.0.0	MMRS39415781ST.27.0.0	MMRS39582183ST.27.0.0	MMRS40913371ST.27.0.0	MMRS41266697ST.27.0.0	MMRS41711735ST.27.0.0	MMRS42570301ST.27.0.0	MMRS42780924ST.27.0.0	MMRS43563715ST.27.0.0	MMRS43939546ST.27.0.0	MMRS44197125ST.27.0.0	MMRS44203591ST.27.0.0	MMRS44587603ST.27.0.0	MMRS47662059ST.27.0.0	MMRS47685461ST.27.0.0	MMRS48639115ST.27.0.0	MMRS51307502ST.27.0.0	MMRS51410669ST.27.0.0	MMRS51728985ST.27.0.0	MMRS51737257ST.27.0.0	MMRS54246132ST.27.0.0	MMRS54316675ST.27.0.0	MMRS55294627ST.27.0.0	MMRS56137463ST.27.0.0	MMRS57276462ST.27.0.0	MMRS57569834ST.27.0.0	MMRS59699117ST.27.0.0	MMRS61683006ST.27.0.0	MMRS62192467ST.27.0.0	MMRS62376181ST.27.0.0	MMRS62666492ST.27.0.0	MMRS64281211ST.27.0.0	MMRS64281551ST.27.0.0	MMRS65205033ST.27.0.0	MMRS65742083ST.27.0.0	MMRS65862658ST.27.0.0	MMRS65945127ST.27.0.0	MMRS66868025ST.27.0.0	MMRS67096717ST.27.0.0	MMRS67247116ST.27.0.0	MMRS67690541ST.27.0.0	MMRS68630931ST.27.0.0	MMRS68910755ST.27.0.0	MMRS71238091ST.27.0.0	MMRS71762412ST.27.0.0	MMRS72802364ST.27.0.0	MMRS72980899ST.27.0.0	MMRS73787048ST.27.0.0	MMRS77018926ST.27.0.0	MMRS77321055ST.27.0.0	MMRS77487595ST.27.0.0	MMRS78791111ST.27.0.0	MMRS79893829ST.27.0.0	MMRS80093644ST.27.0.0	MMRS81130264ST.27.0.0	MMRS81135225ST.27.0.0	MMRS81194191ST.27.0.0	MMRS81671217ST.27.0.0	MMRS84085284ST.27.0.0	MMRS84159866ST.27.0.0	MMRS84954772ST.27.0.0	MMRS85382779ST.27.0.0	MMRS85438660ST.27.0.0	MMRS85548821ST.27.0.0	MMRS86168210ST.27.0.0	MMRS86178473ST.27.0.0	MMRS86958796ST.27.0.0	MMRS87723283ST.27.0.0	MMRS88581325ST.27.0.0	MMRS90191266ST.27.0.0	MMRS91297590ST.27.0.0	MMRS92544445ST.27.0.0	MMRS92546335ST.27.0.0	MMRS92727331ST.27.0.0	MMRS93508324ST.27.0.0	MMRS93621581ST.27.0.0	MMRS94549160ST.27.0.0	MMRS95277876ST.27.0.0	MMRS95479054ST.27.0.0	MMRS95674036ST.27.0.0	MMRS96422329ST.27.0.0	MMRS97052561ST.27.0.0	MMRS97307143ST.27.0.0	MMRS97327636ST.27.0.0	MMRS99045180ST.27.0.0
Anaerostipes hadrus	1996229	150100	164686	1044783	2877986	92706	233502	1574453	32948	69351	410681	324358	7629	1348810	331250	0	1985329	77339	279876	316284	21095	169430	53084	3558235	287474	765645	0	740880	2202490	0	34022	0	672053	439139	4019461	123415	672297	79157	55269	3065	5555405	184415	240881	0	1083708	73410	50843	263952	545263	649855	1012870	60774	1277755	1203918	995109	104376	159708	1000125	237937	46839	479642	0	35685	636563	371007	405294	178346	64127	0	58058	760013	0	2381045	17278	1107424	1070046	7985	64647	240027	1146096	583672	481609	291563	70495	1760370	184874	108770	0	434314	12913	359547	690295	856168	1402597	1746392	133047	0	3239	15395	450972	211184	541397	14827	521295	0	97883	128030	466234	0	414732
Eubacterium sp. CAG:180	1821257	3699361	1575788	0	0	6762189	2783	4935013	0	0	5266208	161306	0	0	0	0	0	0	4665632	2009570	518690	2171	0	611533	8971390	490	0	15997988	0	1038	0	0	0	4290957	0	1185753	0	4062283	0	0	0	6679	242	913	0	2224	268048	509	0	2159311	2714	0	1296	0	0	0	0	0	48538	893	0	0	3690	422	0	2746611	626	0	0	0	0	0	7946972	5348	0	25678	0	1723172	1593	0	0	0	0	0	0	3437700	8256	0	5796964	0	9657688	1355	0	1270	2985	0	5627515	0	0	0	0	0	5237617	0	184	2591126	0	6195	6955209	0
Phocaeicola vulgatus	1555707	6920866	3566229	14419767	16077284	8812991	8166640	8960205	12537614	6718148	5970750	8178064	667344	16806	10323877	1533296	2929849	9920715	7725	10923	4247543	2437177	2723654	371989	13874738	8173857	12502	2319100	31858392	12655450	6495226	9706322	18061681	5038146	7471179	2177191	18710638	1458205	9306422	25851512	10789486	375312	2331135	5901	8405742	1755788	1791312	13098355	29375424	3752389	18603247	11558229	21489928	12760	15125040	2420762	15135439	3560121	2562346	1604520	3118190	10921	232713	4473390	8430118	5374432	19091809	7778837	10491278	4993015	15519281	11158907	16412304	58274	5416	1728455	4461763	998918	2790017	23962298	9021723	5539991	1088019	5647	3931801	10239889	7185980	4761	8775997	521002	7983225	9267652	5457	2950042	4536797	11476	20114499	409209	122302	10093293	9364066	4502512	1027064	5093802	9856261	7092189	7018	2021020	4038	1805
Ruminococcus bicirculans	798441	1403385	725221	0	427304	0	0	2526400	0	0	445236	0	0	0	4114551	384014	0	816	0	6255	425319	57989	757846	3418200	3207090	835	0	37008	0	0	0	0	102299	0	2815320	635682	4033	399201	0	0	630676	69036	0	0	0	44627	1960460	0	0	0	0	0	0	0	0	0	0	196543	933346	0	1981249	449041	1373478	1140171	0	2269425	0	0	0	0	4498	300455	849095	0	4801071	41894	0	793	3864	569591	9319	0	100764	0	0	1459565	1449226	0	1174044	0	2303057	645983	0	0	0	0	305380	0	7333	488546	266207	106718	6092	48815	0	1011274	935302	105676	70099	1733043
Bacteroides caccae	797436	679989	1780841	1287984	0	884682	1219	658957	4345190	4479	83602	920046	0	5638500	4578917	738664	6729011	534444	2389747	1181726	5267	2778171	1330568	825500	0	274783	0	142219	0	0	868549	6094121	2180677	496736	2730973	12263254	6607	17657	778009	1110	0	47339	667720	0	319548	0	467952	1735126	61209	208259	0	5921781	0	0	105	434808	844842	3645	2309246	331736	362316	0	0	3824	420636	644085	41357	1290446	6875415	503818	0	885118	0	0	0	677556	607896	168014	3618123	361	45941	85576	1106319	0	367739	1862936	1473539	0	0	64443	0	15970	0	660857	557331	1392	0	21482	11381	2191568	0	927201	833533	501972	0	0	1653996	150179	0	0
Barnesiella intestinihominis	795765	783771	773307	389505	0	25564	0	0	1683680	0	833195	1719	0	318	821929	3149824	0	2657831	2176636	1757955	16945	1456533	462505	0	0	1069466	0	464314	1441638	342884	1647980	0	338625	1541286	22388	888446	32375	293438	1439567	0	0	59399	1404989	0	60989	357109	387639	0	114616	141975	0	0	0	0	973210	84917	0	531	75937	4525	1039911	0	1300341	633290	608644	533782	408489	2524354	0	1235212	800605	0	0	2383717	0	1176934	0	667402	1095	0	777228	1558543	418323	0	441995	71333	1087952	0	0	17445	141	1329430	2560143	1618010	1308673	1059	1883080	2954817	15031	66348	721811	0	244118	1280671	178346	0	0	419217	0	0
Paraprevotella xylaniphila	748069	0	0	0	0	0	0	0	125068	0	292049	3359824	0	0	0	0	0	159890	0	0	112221	757996	460912	0	0	0	0	386772	0	0	0	0	0	0	0	0	22666	84983	305320	0	0	0	105729	0	545936	199222	218989	0	115090	600072	0	0	0	0	0	0	0	0	0	216276	1007156	0	0	0	0	0	0	0	0	0	0	111079	0	77957	0	126306	479419	422242	619	0	586061	186676	152568	0	0	120293	22478	0	0	208974	0	7531	0	0	0	0	0	3156110	0	280697	944091	0	0	0	292556	0	0	0	0	0
Clostridium sp. CAG:253	741908	58564	0	0	0	170119	0	0	0	0	0	0	0	0	0	0	174891	0	0	0	5365	0	0	0	0	129439	0	0	0	0	0	0	0	38011	0	0	0	0	0	0	0	3140	13293	0	11634	0	22632	0	0	0	0	0	0	0	0	0	0	0	92396	0	0	0	0	0	0	139975	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	69485	5128	0	0	0	0	0	25314	0	127757	0	428	68611	0	0	0	0	0	0	0	0	279257	0	28804	0	38886	0	3702
Parabacteroides merdae	730422	896033	0	801299	1178	2230307	0	1250520	344610	0	367086	299697	3634956	0	0	1475397	1688859	284026	292513	0	769578	844419	0	0	104526	0	0	679833	0	498991	163675	1304083	946881	367493	0	2314709	217560	400136	838259	0	1519	166329	374115	0	811388	429772	901602	405091	103964	104439	165130	0	2209006	0	569177	465813	0	3411710	54132	432648	469294	167	1014251	545505	780116	571022	389	17586	1716012	0	893262	1668677	0	1361220	4701265	730854	1361300	1166720	856771	0	1911533	497986	90050	0	516902	1182777	773	9870906	0	45401	698	8846	1426479	1151114	750020	0	347	427582	0	542497	1649978	1805	85491	944852	666778	0	0	487670	0	17364851
Lactobacillus rogosae	659136	50917	666	0	0	4768	0	95634	0	67418	0	63423	0	0	0	2633	324493	0	11717	0	47036	16403	0	47474	0	129178	12419	6300	0	13410	0	0	4942	91970	0	0	0	0	65899	0	0	0	232765	0	2420	59841	8779	0	181051	189460	0	0	0	0	0	0	0	0	97816	0	18605	0	0	0	192049	45505	5589	0	0	161975	0	0	43948	0	119316	1452	0	0	0	0	0	0	94118	7702	0	0	0	0	0	0	5903	15756	0	0	7036	0	30028	0	0	0	0	336914	116927	152371	0	96004	22490	1390	0	0
