RowNames	CCIS00146684ST.4.0	CCIS00281083ST.3.0	CCIS02124300ST.4.0	CCIS02379307ST.4.0	CCIS02856720ST.4.0	CCIS03473770ST.4.0	CCIS03857607ST.4.0	CCIS05314658ST.4.0	CCIS06260551ST.3.0	CCIS07277498ST.4.0	CCIS07539127ST.4.0	CCIS07648107ST.4.0	CCIS08668806ST.3.0	CCIS09568613ST.4.0	CCIS10706551ST.3.0	CCIS10793554ST.4.0	CCIS11015875ST.4.0	CCIS11019776ST.4.0	CCIS11354283ST.4.0	CCIS11362406ST.4.0	CCIS11558985ST.4.0	CCIS12370844ST.4.0	CCIS12656533ST.4.0	CCIS13047523ST.4.0	CCIS14449628ST.4.0	CCIS15704761ST.4.0	CCIS15794887ST.4.0	CCIS16326685ST.4.0	CCIS16383318ST.4.0	CCIS16561622ST.4.0	CCIS17669415ST.4.0	CCIS19142497ST.3.0	CCIS20795251ST.4.0	CCIS21126322ST.4.0	CCIS21278152ST.4.0	CCIS22275061ST.4.0	CCIS22416007ST.4.0	CCIS22906510ST.20.0	CCIS22958137ST.20.0	CCIS23164343ST.4.0	CCIS24254057ST.4.0	CCIS24898163ST.4.0	CCIS25399172ST.4.0	CCIS27304052ST.3.0	CCIS27927933ST.4.0	CCIS28384594ST.4.0	CCIS29210128ST.4.0	CCIS29688262ST.20.0	CCIS31434951ST.20.0	CCIS32105356ST.4.0	CCIS32452666ST.4.0	CCIS33816588ST.4.0	CCIS34055159ST.4.0	CCIS34604008ST.4.0	CCIS35092938ST.4.0	CCIS35100175ST.4.0	CCIS36699628ST.4.0	CCIS36797902ST.4.0	CCIS37250421ST.4.0	CCIS38765456ST.20.0	CCIS40244499ST.3.0	CCIS41222843ST.4.0	CCIS41288781ST.4.0	CCIS41548810ST.4.0	CCIS41692898ST.4.0	CCIS41806458ST.4.0	CCIS44093303ST.4.0	CCIS44676181ST.4.0	CCIS44743950ST.4.0	CCIS44757994ST.4.0	CCIS45571137ST.3.0	CCIS45793747ST.4.0	CCIS46047672ST.4.0	CCIS46467422ST.4.0	CCIS47284573ST.4.0	CCIS47745468ST.4.0	CCIS48174381ST.4.0	CCIS48507077ST.4.0	CCIS48579360ST.4.0	CCIS48725289ST.4.0	CCIS50003399ST.4.0	CCIS50148151ST.4.0	CCIS50369211ST.20.0	CCIS50471204ST.4.0	CCIS50561855ST.4.0	CCIS51595129ST.4.0	CCIS51667829ST.4.0	CCIS52234160ST.4.0	CCIS52370277ST.4.0	CCIS53043478ST.4.0	CCIS53355328ST.4.0	CCIS53557295ST.4.0	CCIS54027808ST.4.0	CCIS55230578ST.4.0	CCIS55531770ST.4.0	CCIS56503244ST.3.0	CCIS58234805ST.4.0	CCIS59132091ST.4.0	CCIS59903910ST.4.0	CCIS61287323ST.4.0	CCIS62605362ST.3.0	CCIS62794166ST.4.0	CCIS63448910ST.4.0	CCIS63468405ST.4.0	CCIS63910149ST.4.0	CCIS64773582ST.4.0	CCIS64785924ST.20.0	CCIS65479369ST.4.0	CCIS70398272ST.4.0	CCIS71301801ST.4.0	CCIS71578391ST.4.0	CCIS72607085ST.4.0	CCIS74239020ST.4.0	CCIS74726977ST.3.0	CCIS76563044ST.4.0	CCIS76845094ST.20.0	CCIS77100899ST.4.0	CCIS77252613ST.4.0	CCIS78100604ST.4.0	CCIS78318719ST.4.0	CCIS79210440ST.3.0	CCIS80834637ST.4.0	CCIS81139242ST.4.0	CCIS81710917ST.20.0	CCIS81735969ST.20.0	CCIS81887263ST.4.0	CCIS82146115ST.4.0	CCIS82507866ST.3.0	CCIS82944710ST.20.0	CCIS83445808ST.4.0	CCIS83574003ST.4.0	CCIS83870198ST.4.0	CCIS84543192ST.4.0	CCIS85214191ST.3.0	CCIS87116798ST.4.0	CCIS87167916ST.4.0	CCIS87252800ST.4.0	CCIS87290971ST.4.0	CCIS87605453ST.4.0	CCIS88007743ST.4.0	CCIS88317640ST.4.0	CCIS90164298ST.4.0	CCIS90166425ST.4.0	CCIS90443472ST.4.0	CCIS90903952ST.3.0	CCIS91228662ST.4.0	CCIS93040568ST.20.0	CCIS94417875ST.3.0	CCIS94496512ST.4.0	CCIS94603952ST.4.0	CCIS95097901ST.4.0	CCIS95409808ST.4.0	CCIS96387239ST.4.0	CCIS98482370ST.3.0	CCIS98512455ST.4.0	CCIS98832363ST.4.0
Firmicutes bacterium CAG:94	35076	0	0	0	0	41365	0	0	108656	0	0	0	0	0	0	4627	965	208440	76927	0	0	0	202315	0	0	0	0	0	0	0	217964	0	18073	32423	65368	40405	121250	0	0	0	0	43625	20190	3248	178501	654269	0	0	11591	10914	0	63016	0	3529	0	0	0	0	16160	92865	0	0	28238	0	0	8355	0	12517	0	0	0	0	69490	0	0	0	0	0	0	0	0	0	0	110010	0	0	0	11131	2105	0	540	18458	0	14801	0	0	0	0	90945	0	0	0	0	0	0	25887	0	0	3596	0	0	0	684	0	0	47273	8417	10918	8964	0	0	73658	25908	46217	6187	0	0	0	0	0	0	127723	0	0	2946	653349	0	0	0	483	5200	0	0	1278	0	0	0	0	0	27468	0	20160	0	0	0	230
Dorea sp. CAG:317	29854	0	8851	0	11690	0	0	0	0	0	0	479495	0	0	0	0	0	0	132415	0	0	0	0	0	0	0	0	0	3873	14831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404030	0	0	90774	0	72868	0	0	0	6805	0	0	0	38912	0	0	0	0	0	0	14342	0	0	0	0	0	0	5318	0	0	4421	0	0	0	0	0	1494200	0	0	0	0	111837	0	0	0	0	39149	0	0	0	0	869	0	19063	0	0	782	0	0	0	0	0	0	0	0	0	61622	0	0	6475	0	190367	0	0	0	27263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	531341	36115	0	0	0	0	0	0	464517	0	0	0	417631	0
Turicimonas muris	28235	0	0	0	17759	0	0	0	0	0	92875	0	2803	0	0	0	0	0	7904	0	1280	0	1913	18503	0	0	0	9117	0	0	0	0	1073	45781	6185	0	5751	0	0	0	0	0	0	12376	0	0	0	645	3231	2266	1939	1979	0	0	2090	0	1861	0	16744	572	0	0	2668	4071	11392	0	0	0	9522	4178	0	0	0	0	0	1623498	3721	1341	0	4633	9081	0	0	59771	0	0	1276	0	8010	0	1161	0	135228	0	0	702	0	0	0	4597	4545	0	3219	944	0	0	335	0	4983	1368	11170	0	0	0	0	0	1258	1951	6885	0	0	8859	13068	0	0	15557	4562	7888	2155	6324	50495	7500	0	0	0	4473	0	0	0	5273	0	0	0	7388	0	0	0	1308	0	9382	5760	0	0	0	2063	0
Clostridium sp. CAG:242	27688	0	314052	45316	0	0	0	0	0	0	50128	0	62470	0	0	15139	0	0	77606	0	37373	0	94027	0	751488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129819	0	0	0	2384	0	0	0	0	2329	0	73356	0	7206	0	0	0	0	0	26455	31709	0	0	1160323	0	0	0	0	45024	0	0	0	0	0	0	74689	374477	0	0	7641	0	0	0	0	2346	0	0	0	0	120800	0	0	0	3908	0	0	33137	0	7655	147842	0	77754	0	0	0	0	0	0	0	7028	0	0	0	17796	4285	0	0	0	0	0	1067745	0	0	52317	0	0	552663	0	0	0	14411	22294	57238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169124	0	2251	0	0
Lawsonibacter asaccharolyticus	26730	0	0	192	34981	36461	0	18741	0	31848	20549	13660	14836	0	0	25028	86579	66307	119290	19267	36393	0	29132	19729	0	0	0	7964	10830	38170	122149	512	9437	9092	80563	17107	28789	4745	3177	0	7602	72801	86024	0	2261	253642	10408	988	2347	13481	4756	1760	35023	23343	0	0	4067	332	10076	33196	0	11903	181505	62203	143	3370	171477	19295	951	157147	3867	56659	6925	0	9432	127284	7714	34420	2715	0	0	104724	0	347147	1426	2843	8081	2760	105500	0	1481	29814	10251	10268	4306	856	0	11550	20395	18444	21677	15911	0	16465	25284	11754	906	441	26154	129932	6995	40021	11402	87626	51708	159831	21927	69179	43796	45833	26576	20515	18276	70866	20536	28136	14350	10362	0	171738	72217	276246	0	31883	103649	191451	30844	14088	12500	2263	10610	10430	124945	48701	21457	180383	531	12044	0	62866	0	34443	9860	1541	1349	10050
Phascolarctobacterium sp. CAG:266	23227	0	0	0	0	0	0	0	603949	0	0	0	0	0	0	0	1336437	0	540030	0	0	0	102453	0	0	0	0	2913	0	0	434051	0	0	0	0	0	0	0	0	36452	0	0	581439	0	0	1776577	0	0	0	0	0	0	0	0	294318	439	102928	0	0	0	0	927561	0	0	0	19547	0	391174	0	0	0	248548	0	0	0	1455672	0	0	19253	0	0	689	0	1194523	0	0	0	0	0	0	0	140801	0	0	190199	0	0	0	0	0	0	0	0	0	0	0	0	0	1048139	0	0	0	0	0	0	0	851330	0	0	0	0	0	0	0	0	0	0	0	0	2408	0	0	0	0	220066	550344	0	0	0	0	0	0	0	2010813	0	1804949	0	0	0	0	0	0	0	0	0	273003
Escherichia coli	22277	1010	2366	23702	2734369	529185	6257	495670	2737125	0	20173	0	27654	10060371	0	0	1674674	485276	277228	4627740	0	0	51391	25949	184241	624365	0	0	1880867	0	300614	0	2079	0	18056	12835	0	0	512047	1144622	21189	20885	202294	121100	2455	225352	0	8093	375927	260565	252953	298427	17866358	1594	1536	42973	2265250	553676	579361	921376	2701	0	1736596	129110	166993	47699	222136	15817	561381	13631443	2990	646549	1001343	9897	91068	0	356753	3044	791	0	0	0	0	170392	0	18351	34957	1042750	544523	75961	21292	120580	100906	2065495	694	106886	92201	9407	446793	13923694	2034659	1795793	834193	1128799	0	465596	0	57751	16094	0	50816	1116372	27269	252899	10846	1236757	49167	107464	117390	201549	2158410	3885	0	5378158	47230	568463	7911	9690	0	561979	0	256763	64804	1694689	126891	8089781	47696	8177	0	3478594	1078177	63339	252526	4193	226523	232962	0	3960	500742	570172	221780	562689	0	0	976491	5095
Anaeromassilibacillus sp. An250	21121	0	2313	0	0	10584	0	0	0	1821	32596	0	0	1328	0	0	9849	29011	1892	27402	0	0	46941	1289	2391	0	0	0	0	0	135299	0	13473	21711	17364	0	0	0	0	0	0	0	0	0	30607	70119	0	0	7685	16201	743	8204	0	6617	135	0	1103	0	1331	52873	0	28317	51051	555	0	4263	0	0	0	16263	0	1645	0	0	8223	27028	0	9039	0	0	0	131	0	0	0	3258	0	9365	0	0	22413	7972	0	14111	0	0	0	0	46613	0	23594	0	0	9671	0	21057	749	0	7522	3406	25153	0	0	3735	8471	0	46265	77251	31502	144802	0	0	0	0	0	7918	0	0	0	0	0	29714	0	0	0	351965	0	0	0	16665	7239	0	0	0	0	0	0	0	0	8146	0	0	0	0	0	893
Butyricimonas synergistica	19510	13888	0	0	0	5204	0	0	27214	220744	0	68452	842	2800	1768	0	0	0	33700	298701	115548	0	66316	0	41859	0	0	0	21474	0	70921	76062	33857	0	18162	0	0	31045	11561	0	41803	0	4716	0	0	0	7463	0	0	2076	102	20840	0	2867	36880	35784	1123	24960	0	425	3717	0	0	0	0	0	0	0	0	0	250	36322	7896	0	0	0	7350	0	17052	2960	0	126	0	14721	0	605	15509	0	125863	53743	2329	26023	0	14211	11957	0	0	0	14785	54727	58356	14345	0	17698	0	0	0	0	10703	0	0	0	0	226810	63435	0	10048	1835	0	798	123456	1690	0	0	0	71936	5467	88194	0	124991	63259	12314	0	25735	63332	0	0	1246	0	0	206280	344	10264	105644	0	269351	0	567187	22776	0	1691	7456	898	0	774	109596
Proteobacteria bacterium CAG:139	17777	1954	0	0	30450	1525	0	0	0	0	0	0	114639	0	0	0	276	0	5620	0	1181	0	7574	372545	0	0	0	40835	0	2142	2127	0	151960	720994	5350	4198	16103	0	0	0	0	0	173	44309	0	0	0	12707	54907	3317	130268	71309	0	0	8198	461	3821	0	654509	2794	0	0	1323	11649	32135	0	0	0	78648	0	0	0	0	0	6312	0	0	56779	0	11043	35317	0	0	920075	0	23906	0	0	532332	0	1017	0	0	0	0	19544	0	0	0	3434	3740	0	118214	89643	5960	0	282	0	40187	14112	121907	2027	0	0	0	0	0	4358	42787	0	0	34624	487464	0	27931	274329	125463	4988	0	273	1039202	21890	0	1687	2481	8374	0	1299	0	23380	0	0	0	51673	53305	0	0	0	33112	175810	16981	0	0	0	451	4034
Firmicutes bacterium CAG:170	17754	0	0	0	7283	2500	0	9500	0	716	0	0	0	9340	0	453	125746	0	0	0	0	0	0	0	0	0	354545	0	0	0	0	87238	8337	6198	9142	0	0	0	1883	0	0	0	130021	0	0	0	0	0	0	28658	2294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4055	0	0	0	506407	0	12577	2012	0	0	0	0	0	404	48371	0	0	0	0	39710	19146	16801	3195	0	0	0	0	863	47424	0	0	0	185	0	1195	325751	0	0	0	0	57924	0	0	19831	0	148	0	5994	38239	0	0	0	68320	0	0	125283	0	0	0	0	31897	0	799	0	31283	0	0	97323	0	0	0	0	0	0	0	1354	50657	0	2743	0	1120	0	0	0	0	0	40567	0	0	92727	20059
Gordonibacter pamelaeae	15208	0	126189	0	6959	314	7740	10216	0	3133	26425	54911	0	10721	0	46630	6696	785	47180	1985	0	0	81725	29219	6857	2446	2091	129291	687	153355	4010	0	11676	5516	0	187569	3119	27544	0	46683	1096622	84370	0	0	8093	136	32760	131426	1817	280	135579	6713	0	50899	24650	4009	161536	21227	15617	9990	0	61192	38843	10251	52412	1144	93366	21774	68633	7817	0	2366	14378	0	17214	2135	63231	659	0	13270	22082	83185	23737	89970	3112	6309	1300	835	23832	738	33335	16383	1787	3498	0	0	11980	80089	3962	725	1166	104545	0	2878	0	81205	1679	0	66819	1646	1096	10877	569	2903	352	95926	615	1065	82402	4830	0	39216	13074	104266	83801	23745	69093	0	5243	1486	1948	8237	6098	103	0	21829	325	83049	24259	54472	123045	0	140138	11947	0	0	7337	0	6099	79982	30806	2193	0	0	1405	4236
Actinomyces sp. ICM47	13263	0	20646	0	0	15423	1988	1110	1119	5649	0	8301	0	2246	0	23220	0	7316	6255	4879	0	0	0	8975	0	0	6723	0	0	4794	22423	0	0	8303	3356	1909	624	1596	5129	914	655	90125	0	0	0	0	328	45897	0	2699	3969	0	8964	9313	14106	3029	0	0	3866	0	0	10224	35749	0	8870	4538	15519	3904	117788	0	0	712	0	0	0	3259	0	0	0	0	0	0	0	8815	0	0	2430	7086	0	0	0	1640	183	0	0	0	0	371	0	16620	0	6270	353	81	0	2232	130	0	8227	0	12376	0	5238	26117	0	0	4658	8144	0	8325	0	1728	6878	0	2357	6892	2541	0	0	598	6841	0	660	0	2349	0	0	4635	0	0	41495	688	0	2175	0	0	0	0	0	963	0	10518	0	0	0	0
Firmicutes bacterium CAG:83	12487	5271	180406	0	396153	8125	91840	18796	0	148740	105934	1026991	91984	156936	4111	2212	154730	1142166	0	119509	22595	0	149899	29540	25538	0	26141	1204020	2092113	930149	727807	19359	239069	0	3452	215083	9358	378228	397063	362473	1642488	1360	154175	9599	14906	37978	0	44402	0	5547	55663	17603	33420	116703	14627	222213	0	35134	502605	0	12720	259251	0	833852	378578	57754	176	494522	27408	12015	86649	24602	0	0	68998	103789	197602	45040	6169	46177	17769	29149	276	0	33810	50228	8566	63663	0	2179103	37269	102418	132564	89281	18657	98075	541890	51383	0	51795	34949	0	0	1590855	26350	51372	6339	251025	336822	91166	18920	0	63151	35110	39522	0	279760	1900326	665905	755509	7391	460623	0	0	198818	95492	253775	4335	8402	49667	371967	1371909	127422	0	26694	0	2407335	106802	73742	0	54410	47931	61429	928410	247	402432	0	2718	0	115680	268123	588646	269312	7344	7193	11760
Mogibacterium diversum	11340	0	26316	0	0	25355	4646	6224	34754	9840	882	0	0	12429	0	19649	0	0	7126	27691	0	0	35586	755	1516	0	0	5756	0	18202	129826	0	0	14740	14067	5264	3644	2394	16209	0	12438	0	0	0	51122	0	2066	160745	0	3233	452	10523	0	7463	26135	29489	3449	85898	0	48953	0	20232	2419	0	4000	18293	6330	25210	21671	0	0	7624	20090	0	0	0	1819	0	2711	554	3133	0	0	7878	0	623	13402	5530	3463	3612	18122	6431	10870	1674	0	0	33512	20329	8121	29798	19385	9295	2711	2467	0	2770	120	0	2405	0	20993	0	1234	125696	3424	0	1513	2273	1899	0	0	6482	9876	0	8692	10761	28825	0	0	0	0	0	3846	2337	14737	0	0	22295	0	6997	26621	19848	0	8422	0	0	0	0	5017	0	3780	17780	0	0	0	7733
Eisenbergiella massiliensis	9683	0	6905	0	15273	0	0	0	0	0	16335	186966	0	0	0	0	0	0	0	0	0	0	0	0	4362	0	0	192163	0	13057	0	0	0	0	0	18331	0	23202	0	0	1881213	0	7727	0	16284	0	2858	0	0	0	4793	0	4061	0	0	0	8453	0	0	253	0	44028	0	10667	0	0	0	0	22330	44131	0	4351	0	0	0	2454	22377	92931	0	0	0	23755	0	271596	0	0	0	0	228186	0	0	0	94	0	0	0	0	2782	0	0	0	7532	0	5877	0	9595	0	0	0	141259	0	0	0	0	0	0	0	0	0	64582	0	0	0	0	0	3464	0	0	0	0	28177	2678	0	0	3873	0	4662	0	152919	3963	951	0	64384	0	1590	0	0	0	0	0	0	30691	0	0	3951	0
[Eubacterium] sulci	9158	0	1227	0	0	21843	3988	0	6293	0	0	2007	0	5774	0	4218	0	0	2608	6688	0	0	8435	0	0	0	0	0	0	10071	40709	0	0	18423	0	1307	0	0	4834	0	0	0	0	0	5978	0	1617	82010	0	5230	0	0	0	2191	16545	0	0	0	0	18877	0	16153	1274	0	3197	3223	6652	6222	24390	0	0	1026	5489	0	0	0	0	0	0	0	0	0	0	9287	0	1887	9430	0	0	0	0	0	0	0	0	0	5567	11107	0	6812	5215	5149	12591	0	0	1859	0	1549	8055	0	6210	0	9654	51093	0	0	1223	0	0	0	524	1251	4794	0	0	14621	7603	0	0	0	0	0	0	0	0	0	0	4098	0	8483	1304	3037	0	6684	784	0	0	0	0	0	0	2200	0	199	0	0
Hafnia paralvei	7038	0	0	0	0	13325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53170	0	0	0	0	0	0	0	0	0	0	141562	0	0	0	0	0	0	0	15257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56365	0	2397674	0	0	0	0	0	0	0	0	0	323826	0	0	0	21803	0	0	0	0	0	0	0	0	0	0	0	7865	0	0	0	0	0	0	0	0	0	0	220739	0	0	30764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43345	0	0	75176	0	0	0	0	35621	0	0	0
Intestinimonas butyriciproducens	6726	0	10603	0	6849	0	0	0	0	0	18360	0	0	14121	0	0	9958	0	317	0	0	0	141469	0	0	0	0	0	0	14971	0	0	846	0	1755	1418	41321	6127	20485	0	2365	0	0	0	10490	3682	0	0	0	0	0	177824	29634	0	3673	0	0	7922	1534	11378	0	0	0	26797	0	3003	0	18204	0	3220	0	466	0	0	46017	3244	44380	15355	0	0	0	6450	0	32187	599	0	0	0	0	5702	0	0	0	2363	0	0	0	0	0	0	0	10223	0	8552	0	19736	0	0	0	48467	0	0	0	131869	0	0	0	0	2259	28971	0	0	19752	15430	0	0	0	0	0	16790	174117	2415	274	170195	1342	578413	6244	0	361205	65733	0	0	111057	55234	0	12569	3933	0	0	300	2821	0	0	0	3343	11990
Rothia mucilaginosa	6126	0	0	0	0	19943	281	38956	0	0	2134	0	0	1791	0	12194	1355	70863	0	0	0	0	0	0	12373	98	16901	0	2819	0	6417	0	0	140	0	0	0	0	1951	0	5371	660	0	0	0	0	1569	2164	0	0	28728	0	10576	5372	3464	37805	3436	0	2442	1593	4325	0	0	0	0	0	0	89	3244	0	0	12220	0	0	0	3570	83384	0	0	0	526	15953	0	0	0	0	799	1203	185	0	0	0	48368	282	0	0	0	14136	33728	0	0	0	817	3835	0	2916	0	0	11432	0	1103	0	823	7696	0	0	0	0	0	9052	0	86	0	3391	7351	0	0	0	0	2556	3726	0	0	0	0	13595	0	9577	0	0	9572	519	0	0	0	2625	0	0	0	0	0	903	0	0	0	0
Christensenella minuta	5100	0	0	0	0	0	0	0	0	0	0	2193	0	1738	0	0	0	0	0	15412	0	0	0	0	0	0	0	0	0	13329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4959	0	0	0	0	0	0	0	0	3017	0	0	0	0	0	0	0	0	41449	0	0	92	0	0	0	0	0	755	0	0	20222	0	6694	1388	0	0	0	82819	0	4106	0	1223	0	0	4002	0	0	95	0	0	0	0	0	7078	0	0	0	0	0	0	0	0	0	0	0	5023	5293	35852	0	479	835	0	3027	0	9183	0	0	0	0	102793	0	0	298	0	0	0	0	0	0	8661	0	58217	13434	0	0	43613	3954	0	19916	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella sanguinis	4955	0	31144	0	0	20336	4915	11258	0	0	0	1855	0	2079	0	34852	2021	5276	5352	37128	2116	0	2992	9383	6557	19839	0	18239	929	26746	65861	0	0	34182	0	0	0	16432	16964	0	0	0	636	0	0	0	6300	79846	5554	740	16152	4401	0	3451	17416	25496	9271	0	0	17235	20941	15539	1114	0	19167	7822	4071	29687	8405	0	2102	35542	4320	0	0	0	4992	4648	8945	14335	4572	0	0	4546	0	6416	14152	10967	0	0	5303	0	38535	4808	773	0	18631	37638	74759	20309	10175	3485	64563	3612	3592	3162	0	3765	14589	0	6344	0	31249	34842	35126	4342	12204	61277	14161	0	0	64695	15151	0	22554	2627	96205	3363	0	0	0	0	0	0	10378	0	0	12960	0	12571	18900	6886	0	0	8134	2615	0	2692	0	17298	6848	4567	0	1555	11891	0
Alistipes sp. An66	4803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella atypica	4241	0	0	0	0	0	0	0	0	0	4953	0	0	0	16133	18265	0	0	0	0	0	0	0	0	42682	28345	1995	0	43158	0	11729	0	0	280	0	0	0	0	9786	0	0	0	0	0	0	0	0	0	0	0	776	0	310958	0	1215	121151	0	0	2249	0	8076	1263	0	0	0	9474	0	0	31686	0	0	273667	0	0	0	0	3665	0	0	0	38304	59731	0	0	0	0	234	0	27834	0	0	0	4551	0	0	0	3422	0	1027737	0	0	0	0	0	0	22096	0	0	0	0	0	0	0	958	0	0	0	0	180	3187	0	0	0	0	4147	0	0	0	0	0	5199	0	0	0	0	0	0	161505	0	0	4034	9125	0	0	886	76720	0	0	0	0	0	0	0	0	0	0
Adlercreutzia caecimuris	3823	0	43667	0	6143	0	115	969	0	0	5226	662	0	106	0	4607	402	0	1911	1054	0	0	2833	0	0	0	0	5644	0	5251	0	0	840	2565	0	13363	922	0	0	17858	10047	0	0	0	757	0	0	3740	0	0	15059	482	145	2447	531	0	8148	0	3214	0	0	5369	1412	0	4218	80	1467	3908	4695	0	0	0	0	0	1113	433	14377	0	0	1791	0	6084	2047	5002	261	3448	299	876	2891	0	5499	2208	483	0	0	0	0	16578	0	0	4746	4622	0	0	0	13239	130	0	2617	0	881	0	0	1142	0	3253	0	2354	2235	0	0	305	0	3847	3315	4733	5457	0	0	0	0	2257	0	0	0	301	0	6802	4136	502	2053	0	2112	2140	0	0	0	0	0	2450	139	3009	0	0	0	768
Massilimicrobiota timonensis	3572	0	0	0	0	0	0	0	108365	0	0	0	0	0	0	0	0	0	18452	4155	0	0	36123	0	0	53563	0	0	0	0	0	0	0	0	0	0	31149	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2256	0	0	0	0	0	0	0	0	0	0	21266	0	0	0	0	0	0	0	14941	2374	0	0	0	0	0	12560	0	0	0	0	0	0	0	0	0	0	0	0	0	25626	0	0	0	95481	0	0	12184	0	0	2282	96741	0	4633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5862	0	0	0	0	0	0	1324	0	0	0	0	0	0	0	0	0
Oscillibacter sp. PC13	3375	0	0	0	0	0	0	0	0	0	2859	2511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2836	0	0	0	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3510	0	0	0	0	0	0	0	2330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728	0	0	0	0	0	785	0	0	0	0	0	0	0	0	0	6474	0	0	0	0	0	558	0	0	0	4765	2970	1271	0	0	0	0	0	0	0	0	0	292	0	8645	1553	348	0	0	0	684	0	0	0	0	0	0
Faecalicoccus pleomorphus	3337	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1732	0	0	0	0	0	0	16122	0	248247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261460	0	0	0	0	0	2468	0	0	0	21433	120878	0	0	0	0	0	0	0	0	0	1031494	0	0	0	5440	0	0	50098	0	0	0	0	0	0	0	0	0	44413	0	0	578	0	0	0	3168	77932	34446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185680	0	0	0	0	0	0	0	0	0	0	4734	9158	0	0	0
Harryflintia acetispora	3169	0	0	0	0	0	0	0	0	0	1266	0	0	0	0	0	6811	138756	0	0	0	0	0	0	0	0	0	0	4834	8157	0	0	0	0	8153	3364	0	0	0	0	15818	0	0	0	0	4495	0	0	0	0	1939	0	0	9335	0	0	0	0	0	0	0	0	0	3883	0	1046	0	0	0	0	0	0	0	0	0	5188	0	0	0	0	0	0	0	4334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	39708	0	0	0	2198	0	0	0	0	0	5354	0	0	0	0	0	181108	0	0	0	0	0	0	43887	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella aerofaciens	3124	8508	1722774	10946	0	1266	1333532	563804	2318	1069808	1248489	3314371	12793	459791	36581	368	787610	1713127	7026	3488700	54942	12322	15049	1994	298905	0	2677892	665613	1914280	742330	1644185	0	1246577	1118	579133	6218	42596	1528522	914621	5923	0	2431	113860	0	7763	316871	974121	3575686	227060	551414	339	545498	417096	580077	111683	206187	4692	1155545	169958	804185	16219	233072	5718	477	712887	285955	4012	1530	1205021	555749	54216	994099	407837	141325	0	0	396100	323938	132522	220928	0	2161	8566752	1395864	140871	135271	1565208	1265	5546	726384	0	359	1954251	1652729	84742	0	267701	2496582	0	1951497	1021318	0	5286	547662	243603	0	199684	551485	152811	39694	7047	3951	1451531	1515663	3295347	9743	1471916	2969038	674705	727189	27091	936	1743	1539121	708370	1179	2128934	10153	99183	526373	0	352741	823471	0	340685	1468603	0	509692	1742146	2148170	1619156	857734	2369701	608225	0	222981	0	177630	1759700	1892	2494268	1199899	781411	20806	90401	2334831
