RowNames	CCMD10032470ST.11.0	CCMD10191450ST.11.0	CCMD11006829ST.21.0	CCMD12232071ST.21.0	CCMD13071240ST.21.0	CCMD13934959ST.21.0	CCMD14479708ST.21.0	CCMD15562448ST.11.0	CCMD17410933ST.11.0	CCMD18579000ST.11.0	CCMD18829815ST.11.0	CCMD18872694ST.21.0	CCMD19168690ST.11.0	CCMD19497912ST.21.0	CCMD21593359ST.11.0	CCMD21703880ST.11.0	CCMD22852639ST.11.0	CCMD23101338ST.21.0	CCMD23541216ST.11.0	CCMD25475945ST.11.0	CCMD25511638ST.21.0	CCMD25963797ST.21.0	CCMD26625622ST.11.0	CCMD26709089ST.21.0	CCMD26925580ST.21.0	CCMD27463710ST.11.0	CCMD27867141ST.11.0	CCMD28738636ST.11.0	CCMD29706695ST.11.0	CCMD30626189ST.11.0	CCMD30627121ST.11.0	CCMD31009081ST.11.0	CCMD31134579ST.11.0	CCMD32288175ST.11.0	CCMD32965613ST.11.0	CCMD34381688ST.21.0	CCMD35081859ST.11.0	CCMD35633353ST.11.0	CCMD35801800ST.11.0	CCMD35802077ST.21.0	CCMD37575804ST.11.0	CCMD38158721ST.11.0	CCMD39157124ST.11.0	CCMD39882286ST.11.0	CCMD40701343ST.21.0	CCMD41202658ST.11.0	CCMD41521570ST.11.0	CCMD42428553ST.21.0	CCMD42956136ST.11.0	CCMD45004878ST.11.0	CCMD45812507ST.11.0	CCMD45988061ST.21.0	CCMD46222674ST.21.0	CCMD46727384ST.11.0	CCMD46947453ST.21.0	CCMD48236717ST.21.0	CCMD49025643ST.11.0	CCMD49461418ST.11.0	CCMD49942357ST.11.0	CCMD50071957ST.21.0	CCMD50300306ST.11.0	CCMD50529145ST.11.0	CCMD50538120ST.11.0	CCMD51154251ST.11.0	CCMD51228890ST.11.0	CCMD51864103ST.21.0	CCMD52117727ST.11.0	CCMD52145360ST.11.0	CCMD53508245ST.11.0	CCMD53522274ST.11.0	CCMD54057834ST.11.0	CCMD56948710ST.11.0	CCMD59540613ST.11.0	CCMD59583015ST.11.0	CCMD60079086ST.21.0	CCMD63399960ST.21.0	CCMD64503764ST.21.0	CCMD64776337ST.21.0	CCMD65222621ST.11.0	CCMD65406197ST.11.0	CCMD66848156ST.11.0	CCMD67373733ST.11.0	CCMD68973846ST.11.0	CCMD71242853ST.11.0	CCMD71915439ST.11.0	CCMD72666896ST.11.0	CCMD72690923ST.11.0	CCMD72895164ST.21.0	CCMD73128545ST.11.0	CCMD74592084ST.11.0	CCMD74930188ST.21.0	CCMD75147712ST.11.0	CCMD76222476ST.11.0	CCMD76409700ST.11.0	CCMD79349503ST.11.0	CCMD79987997ST.21.0	CCMD82866709ST.21.0	CCMD85481373ST.11.0	CCMD85661207ST.11.0	CCMD86114146ST.21.0	CCMD86707194ST.21.0	CCMD87156761ST.21.0	CCMD88272491ST.21.0	CCMD89107682ST.11.0	CCMD89306485ST.11.0	CCMD89643949ST.11.0	CCMD89967135ST.11.0	CCMD90311071ST.21.0	CCMD92404903ST.11.0	CCMD93344354ST.21.0	CCMD93755960ST.11.0	CCMD95431029ST.11.0	CCMD95433940ST.21.0	CCMD95676152ST.11.0	CCMD96553385ST.21.0	CCMD98198513ST.11.0	CCMD98531134ST.11.0	CCMD98702133ST.11.0	CCMD99440714ST.11.0	CCMD99929634ST.11.0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
Phocaeicola plebeius	10376590	0	0	0	0	0	0	2462004	0	0	0	80633	0	0	0	0	0	0	0	1030023	0	0	449	0	12868	0	0	0	3883255	1845	130906	2622	0	0	0	0	0	0	3035	0	0	0	3857802	0	0	322999	0	0	0	0	0	0	0	0	0	4997	0	5380371	0	0	0	0	0	15892	0	0	0	0	0	1774528	0	0	0	0	6460883	5409869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	14713	0	0	0	0	0	1354782	12294	0	0	7946	0	6009378	0	0	0	0	0	0	7216	0	0	0	0	4432	153565	0
Faecalibacterium prausnitzii	7432250	12627116	240388	1602298	1629909	1689997	4645388	2715240	7586653	3326710	3563744	3942595	2333192	4997060	1449150	915214	3047877	6231817	1623304	1317521	363651	630789	924162	3690480	5762787	3125783	3319395	1739789	2337228	2024568	608901	3993980	1158595	3797898	6328787	18335523	11697172	6504358	1847239	6385040	5785918	3508946	3373238	6751424	13014	2215718	6541733	1561700	37376	2570076	4771539	2306844	7113154	2513754	9539853	5289471	2055286	15225165	3367378	4847693	4660729	7224982	8368198	7936983	2276433	4341677	3441268	8078617	4402072	4330692	3133477	3056312	2043852	16508789	6153916	3867401	589402	3848164	10190419	102372	6213504	3248007	2347225	3176822	1290753	53403	2924891	4184762	1967057	8282758	5191031	3900	6988468	3301523	2538414	4194	3964990	1527606	6852517	5410922	5006379	2910114	700078	7508211	17002276	5488663	2945020	4231341	36091	9230987	9620581	10939663	14877420	7283579	4839527	2011408	3092848	6297014	5917386	5622399	13951970	19691298	10799911	20669304	13865394
Bacteroides uniformis	2534779	262653	15355161	11211755	3922339	3275785	2109444	341877	326837	1713649	6338328	2685085	6147968	90100	5025399	379094	783134	541606	371895	3217930	6103087	4703111	2501962	3511474	4195187	7234204	2950071	583	643264	87153	270935	391196	259343	5184151	1722995	630501	1913428	517745	3979154	7602121	3527822	4100009	249101	2480	8562972	107083	590907	5440461	1588	694660	818311	751140	735950	5590097	5650750	215412	51378	3328285	2242054	4961195	598738	1365569	390305	1424739	1889443	625	17828583	6614799	5671783	568602	1623085	6249128	2783275	1379688	2603876	1544421	7869490	6390887	1170824	873201	2832699	632150	2286426	2356532	0	564447	335802	9736949	2235719	1392032	399216	10178698	271253	1121240	1843503	16691636	2200563	80362	725442	1174187	6235535	699469	1170628	1969254	715929	246414	1623772	5597973	1758213	4387765	4526335	4578941	7254317	4054672	16753665	817464	11130385	1080822	6011610	249508	20381252	12599639	12347525	4485131	7904433
Alistipes putredinis	1988622	1734457	4394260	39560	7908333	1163972	1445509	1405443	6105	476999	748344	1425861	0	22709	159206	4079922	7524270	2869877	502360	1464695	3080597	7527487	20255	0	3134287	5438092	4191708	0	2123	110874	4522	2122801	1105924	2047843	1261121	60476	3850449	1184311	981659	2230884	662048	721813	612828	0	16538	824777	4359	2036206	0	1374088	2833	1125189	61382	2102270	2188274	460919	12417581	0	2433	4689480	2158	9631	0	2539379	587710	2609737	5252224	40718	2718268	656732	866936	1035177	2269335	10165	3475916	668389	37738	1767935	10822935	1483121	247023	126588	521781	1630898	17888	0	11782	3166260	1705762	291657	349260	0	13098	481734	502983	0	1882736	606803	1524561	3301835	0	6652	3460960	621798	56629	2397018	339767	18686	0	3185425	2832250	220406	4200020	12142193	22387	320126	7695073	385280	3061947	2438568	9858	13212080	3324	7625315	0
Phocaeicola vulgatus	1427488	64533	4490978	2852	3277957	3854106	3936164	1186997	5442856	1628802	4424191	5218167	4194885	3214545	2821164	4762826	345682	2159099	3040573	591281	2104236	3836333	4851	2146	957988	4875104	1994572	7164816	646660	78062	460740	273771	6198	3485	648870	430845	1147515	2926494	4910083	2724939	1292153	0	2037260	2832	25271204	472883	1377908	1226885	364442	520860	2786195	4965457	1202091	674	4993431	692150	1600598	2479963	5587195	1202873	133054	177675	61664	616354	1179895	2839965	17606410	3561009	5683590	1103813	2354676	2395	2742326	7661189	498	9184547	7035349	2299348	16702	789401	2438949	228685	1311285	0	334	1220547	4141	11229241	4160355	3052535	15787065	0	537704	3231946	0	15483301	3789949	713900	3468573	3212476	12360568	17541	21725749	549425	160681	252421	539523	7673306	3651207	0	2393019	785177	6639701	0	14563383	1780585	1376581	4872572	3340414	1271770	8036564	908492	3654397	12306768	23833304
Roseburia intestinalis	1408686	180008	26472	0	124363	38281	1315213	1320780	4838456	0	638734	214272	0	0	12771	0	59699	1048639	0	638986	0	391767	1555678	10187252	3601	234550	18331	277605	8062	7135	1406	365252	69224	87309	5171	0	405825	0	2897955	2789	768814	277383	636714	5126	16844763	58701	507960	102211	0	0	3728401	16100	185632	172493	36610	136132	46914	12960	1159098	2086673	33271	525203	10640	5065	435414	688	143459	0	13801	1833999	403	825868	200807	4218104	0	1691707	112823	61951	55226	0	640700	345299	0	0	100095	82199	9177	434	679033	4732919	445415	353650	128058	117174	508614	456310	233241	550750	1864097	142873	170522	34005	0	1206392	1475706	567884	0	2631039	0	0	112257	31988	14206305	0	4800	515143	48855	0	2514732	418717	0	796733	6774	9343302	1408803
Roseburia inulinivorans	1021912	373260	666801	332022	735375	225912	924527	1435774	1627640	437163	262918	1501412	0	741123	223784	0	68707	186998	76396	549562	81784	475960	81024	645447	238558	389438	15502	726171	47788	401047	4564	640668	20626	50112	122615	618835	588922	11638	1008933	8096	221359	740706	206175	9669	1104	185607	223636	0	186661	789923	1206792	104210	1165783	0	1301669	660025	3904	3862854	816829	735635	44108	145211	0	668513	276058	5872319	1667559	598390	143728	233632	1271411	104876	2416050	2302356	0	2401279	431701	378037	108182	52443	103431	11125	329066	204373	97692	0	10712	2921228	996178	196412	3676063	286825	673545	101269	147583	174979	222733	601687	1584045	1334434	700193	698778	1095	524333	363441	195822	0	1267972	6026	1363052	2543048	65457	3912178	85862	3216	55888	12632	617122	471343	290774	6841	4785602	4035184	2439493	4030670
Fusicatenibacter saccharivorans	1018631	326487	448846	993173	2432751	366672	0	116463	1164495	1339692	523519	234772	172597	0	170597	1483666	379362	585872	74320	1019329	1046098	1843620	124445	1329953	802201	1604842	2138167	109655	251618	130405	193257	507165	143291	832813	387438	578297	1284503	7702067	515204	6702461	1005764	90842	374802	731695	4383	216679	1275842	5860989	340377	2349844	227839	321654	925257	1318648	2383813	198823	4944613	673599	429451	616336	91334	627244	142531	3838036	448740	4657984	1273917	1513619	635848	106551	234042	865171	455588	904307	0	1029206	16938	552010	2386168	611844	1168844	465049	314644	302868	33077	0	340263	1107318	196414	810788	1039135	196495	110901	293834	435956	836840	464109	194897	848448	1669053	1427073	618063	3098	452606	446941	271095	2008269	1728435	207016	897926	93396	567448	688299	611388	344140	470542	366925	678750	121937	1568863	1016727	3318304	3370032	2569729	1271313
Collinsella aerofaciens	988740	828837	576217	359507	641229	200929	622207	121375	586498	941681	61268	275401	0	568302	3351675	3611171	1170716	727856	87536	0	902414	1142236	0	0	45782	2345666	353292	478184	131682	842589	81186	3012047	163506	3743	8395	521975	737747	477039	162281	1088421	498977	839	120047	492367	7349	137652	467789	2025669	1432389	810058	657361	576568	2710243	447276	1010725	1846084	7940915	4928881	430964	135421	342761	1084816	0	2568239	841123	0	0	922794	1001393	3827	550776	1519920	1363481	5566386	22918	204101	1860368	15238	1467204	1198107	528459	1243288	351429	0	735421	1355098	1378473	178537	44385	3005	283898	0	591771	262036	122634	0	244916	141149	561601	1222134	744055	138340	230535	1120969	5676796	1113038	1618019	1094271	3359539	250265	454945	2023132	970892	5011360	8564	439594	19810	1163874	0	1918635	7202791	198741	8400	3169072	1082647
[Eubacterium] rectale	951834	1646576	107141	160407	2056606	4770851	429513	1539304	9149654	2452826	924828	3994849	0	240135	461038	0	806720	4897340	220785	24146	335930	7589305	5721810	20880909	54438	3195306	26159	732	338677	107667	126550	626500	145500	1821064	879306	4647577	368065	719122	3975717	8191	1683031	3496568	6110589	3113	12245	1475228	125823	312636	0	30352	38657	2270891	19899	1611	4549443	5275352	106759	48644	2544870	10283	1561	1149485	170955	451710	1936489	16962298	5553121	2571750	119398	14085	1127	100966	442365	1866329	0	2896387	1580	69829	128119	51285	987122	379293	1374303	2677544	806140	0	202191	5576809	3592252	7130015	1770847	0	427282	119112	0	2339994	2124589	14193	46485	202860	1856428	1250861	22825	682641	1892877	0	20628	2567973	280865	9790302	5286039	3131687	1886717	170879	45782	3815038	3136065	14328612	9182	2868965	154759	309047	27693981	3792410	4286916
Bifidobacterium adolescentis	902387	4303054	23017	0	0	207482	0	170267	0	173438	32473	430479	0	759711	53006	309739	730802	327801	0	0	0	0	328501	0	1852800	121476	112130	411972	373063	5517905	574	1238552	0	27102	80581	0	1183631	1399949	50853	3109359	4771741	0	748022	340648	9591	33338	2388405	1072689	0	1135347	105559	1445603	5007210	0	2856344	974022	7514	0	57979	771575	11200	1307398	1227840	722	8510556	2950853	0	0	880805	0	0	1412658	735477	6044757	0	854402	0	6171	2822572	0	335753	220517	150967	807896	1480556	6781856	0	0	0	23967	0	0	613199	1644566	0	0	1742438	51972	2329133	8987671	964398	468399	6142	6422489	4584788	0	2146523	7222	0	0	7500	15712	1424210	12185234	4265	193972	6280370	0	363	1171904	0	0	352906	15575264	0
Eubacterium sp. CAG:38	838913	441292	0	177880	0	0	0	463627	0	144258	39660	1339692	0	7850	0	0	16922	585719	57603	0	0	0	625583	0	1648087	67170	0	0	23819	45267	597	231211	81760	170655	21717	0	156591	90508	218348	0	72311	27071	377309	0	0	54650	230218	223048	0	9018	231841	40969	244596	80199	800107	0	8462	345511	25346	50791	76126	90320	3886	413838	29615	294723	903427	493842	0	602831	0	215156	6015	432301	0	721779	0	21079	305629	17617	38651	15611	0	621275	4997	39169	62555	19616	49131	528469	0	0	57213	86469	2891	0	302141	60264	38207	70064	636090	156428	935	0	323585	105435	44959	124901	8139	0	201253	104385	5868784	8353	2112	14247	0	109551	614034	0	19559	104931	3656542	1587145	449950
Alistipes finegoldii	680753	96818	1369838	304850	6807095	1320	163250	53575	97119	77006	643104	40153	6148	5286	174050	2547	1691906	25625	23909	54215	732	207351	49766	3066940	3650	601218	2961180	0	2221	8790	0	206674	30652	671455	2413	404809	1056843	1191780	71410	324711	38382	0	1455	0	0	1664	860	106729	0	48345	5302	300534	105812	755431	1282004	3431	118	60086	122800	52745	447	250321	79264	1092	18803	757	1027091	153442	243249	47737	4686	118563	70357	55692	153484	113223	360501	9312837	517283	650161	131928	11485	1723	1131032	10369880	0	3988	571178	450202	154615	34804	43185	6782	155059	159480	0	335178	72183	385804	6061	9555	614156	1070188	0	20348	12052	23323	2324113	459163	35418	89990	384195	3733432	1240774	20467	20635	55472	101322	121065	0	3030	1178036	2859546	852732	3975118
Bacteroides stercoris	631528	0	3968348	0	0	0	314	140144	0	0	0	2149149	0	2350855	708256	0	2521501	1298987	221863	0	0	3478092	0	0	5561	1720091	3564464	0	0	0	6776	62643	0	0	4700	0	0	69268	149990	1649576	0	0	58699	1719	2796617	79791	0	0	1056	1712029	1555432	176200	0	0	0	367662	0	816773	3360225	2784031	367169	0	262868	0	0	0	0	0	0	13396	1999009	0	1140	0	1130637	1324353	0	0	0	0	0	0	0	0	0	11184640	42390	0	0	0	1059356	0	221842	625	89464	4618906	1114737	431172	0	1506363	5687406	4275	6623	595894	240239	218921	0	7425875	1086	0	507571	0	28141	0	11684	0	1129	4382053	0	0	10695647	903090	0	0	0
Ruminococcus bromii	456245	533216	43664	6022071	0	3666475	2646997	0	2576	1075827	1405267	796096	0	4453305	119268	0	991823	5060633	7924	3253299	11185361	5045752	14931	0	1651655	4386885	2065637	0	259629	464822	119325	0	1232035	0	1840996	0	641719	4613557	0	3473047	4044236	585159	497427	3785994	18791	211497	392642	0	0	918705	6024294	1083858	2794472	2776501	6362134	2889077	2796334	1654794	1870623	500471	1685	910272	0	1168419	638267	0	2188233	6381726	6468863	0	502856	426104	18430	4867858	1743339	2085588	2282729	7992285	160316	3094690	1235979	282226	0	386929	1900812	653	731685	0	0	4525482	4922	0	1985	2871364	0	0	43408	403801	2788	4632926	368504	15400	13472	3274835	37000	0	2470931	11618	10490	752571	822	456852	1882189	969387	39934	143704	16842612	303336	0	0	9910	6141288	9057954	1301	2964511
Bacteroides faecis CAG:32	389241	0	0	0	0	0	0	0	0	0	0	116291	0	0	0	168497	0	0	0	0	0	0	1476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208700	0	0	0	0	0	0	0	7213	0	0	0	0	0	0	0	0	0	336013	0	0	0	0	0	0	0	0	0	0	228508	0	0	1067045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1919128	0
Parabacteroides merdae	336404	2489	9981	0	143042	422600	352219	129290	1822	447592	0	208653	0	12436	0	174607	12765	271308	147691	267754	1862968	158793	0	0	620680	1096607	285602	0	308355	112300	426677	1099379	58069	1319604	1302475	0	0	4699	912730	183616	346203	0	258413	0	6457452	44545	51572	1455854	0	248676	491039	692553	1330533	824883	1004969	556096	550068	978401	1088244	1794933	297077	212901	28746	102711	404512	0	251	411000	0	56539	356718	0	1198668	0	2765664	464048	2644780	707	556386	0	429683	151176	179269	203995	833014	0	24830	0	320161	0	562056	4153441	444295	0	300285	0	1831213	56532	352231	384	1524166	912358	3695655	117340	7702	29347	884070	2256767	2292162	1404449	594444	295788	5828	0	1625	184984	0	620147	460931	704315	6919	1058815	0	0	0
Bifidobacterium longum	323896	1380015	2292149	2667921	52563	173834	620511	34953	1220111	461827	82729	195304	0	92275	49993	236307	1223147	323264	817	162617	1625552	0	54689	0	872860	135367	2025511	148635	68062	182607	1558	223127	84599	2902	688	6175	339971	175136	294469	287509	371117	0	264826	51422	3201	14336	205992	47754	1389130	420835	144323	157	441125	0	900162	420122	4484	2666077	886615	1007732	262440	824658	370966	0	1120656	1642788	0	10540	1235746	0	93279	350177	220099	1597821	0	433862	0	202714	901110	1421769	1623545	126556	11292	94267	1223424	1688001	1689343	52752	0	2687327	762370	420	91055	412854	290071	0	714287	115379	109623	498922	211397	158749	794	2447374	411944	0	1591607	362419	772853	705427	1002001	969	1206642	981573	4635	26457	1237971	1023	573865	0	4481336	8132064	6569740	6338972	0
Bacteroides faecis	261575	0	0	557621	0	0	0	0	0	234886	0	158230	0	11768	0	319302	0	58354	0	649687	0	0	4558	0	0	0	0	0	0	0	0	2633	0	0	0	14162	125376	0	795499	0	0	0	0	0	0	0	165397	0	0	232053	0	0	0	0	6718	97074	0	0	0	0	0	0	0	0	259769	0	0	0	0	203183	0	0	0	0	0	91330	0	0	1258633	0	0	0	0	0	0	0	0	2998486	289017	0	0	0	0	0	0	0	0	0	0	0	0	151773	0	0	0	2575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2861	0	0	2344622	0
Odoribacter splanchnicus	260388	26200	859076	336062	328828	170021	176633	186775	0	145682	0	374615	0	574899	531725	990285	114690	106290	86390	0	298795	143019	0	0	0	1016395	616319	0	263399	23509	40271	14058	127822	251001	277972	265106	213642	334130	115817	185121	59087	146124	136413	0	0	28640	136798	322974	0	103373	100963	142462	306813	177902	479852	0	2347	13010	61554	596792	111324	174395	3527	160043	124597	0	730198	1010008	417424	191502	134032	70881	243052	50780	651902	531970	776054	630822	0	116400	260178	72710	49386	178165	177836	101310	106270	401921	134969	25808	94621	0	64192	64207	56676	0	472125	77617	89529	1169334	315065	377573	0	55668	38876	138561	241538	429377	662593	259890	242985	129173	1131322	369404	0	25940	586431	75940	185057	335091	261243	558345	1435215	0	822475
Lachnospira eligens	256311	65260	12527	1579585	1259637	1160104	1084359	248296	100891	1189387	1288202	509857	0	3569017	2481	14278	113681	1027509	408781	524632	0	4398101	33818	1118392	5660	1916821	990195	190704	235314	268988	157877	570452	308058	158819	372586	1553511	212361	11187109	1694367	527504	289179	265283	174977	198966	0	408764	5056842	2095485	565968	337855	0	503359	869401	0	8146	485717	0	158508	7807	212852	95005	28623	481655	121064	0	1119345	0	1578169	276913	4098953	331839	493795	110292	309647	0	1394133	0	130562	296630	406393	322488	666550	83722	0	548629	0	14227	1099724	1962425	2766224	274860	0	3741	1603193	2099974	0	531727	911521	208418	1305460	3576929	1044910	5741	450766	729090	68846	1420	1507067	818	0	231810	680923	8714640	213416	4292	259507	4266	160	1582716	472643	17313008	6264180	4162542	9467402	2142729
Dorea longicatena	241017	16721	2780971	621866	1906967	161568	0	77102	815883	665230	343904	715729	103624	304580	1560936	50071	70855	2515669	175665	0	588565	2971977	368280	0	72982	2137685	11074	333898	214260	411381	1809504	746023	590001	107448	254087	1045727	97090	851313	211022	843729	346946	31593	25678	1026312	1594613	161359	540792	605173	216829	495954	438631	286622	783513	725917	578823	934673	530650	2381835	222537	144989	51190	190465	34370	264097	394372	888200	0	491639	476774	31559	282821	181355	144505	1629485	0	469929	648324	897250	179449	28264	335080	1345011	77277	74789	218989	0	36554	266385	0	275491	509813	19127	301412	101562	51266	421481	118220	49562	450943	348485	701504	461648	1996	246974	384988	321298	385543	434444	1220	161731	169418	165882	262917	116725	122317	78298	4986	17746	437108	512197	2518564	709962	1157748	1335516	362995
Oscillibacter sp. 57_20	226842	559637	89858	0	14335	0	0	355028	0	155479	59130	280234	0	0	157901	24480	1681383	188553	145222	234741	0	0	480325	0	143993	63156	0	0	545069	53297	176075	351060	88208	232861	474734	577840	501219	771319	49990	873401	64778	191997	175717	35590	0	48888	62841	1018413	6144	425564	145040	192732	283310	62479	589575	378	6075	0	30977	409461	425	1285248	1167379	151	48715	153265	194909	209291	132972	25515	190471	503460	1760	180646	104025	209297	594319	60041	0	1807	81278	744633	0	147231	19473	0	1251820	1428444	330346	0	92386	0	46851	359061	133176	0	20707	50990	617441	5869	2242	308388	0	61073	2324682	1276007	349266	16168	0	0	143808	759483	151761	604841	535	0	0	17122	606390	405470	187388	0	3664	277709	1412487
Dialister invisus	180035	2691	202365	0	46226	0	365805	0	106901	0	161188	0	2028	2184083	10199	0	2368	5633	0	0	0	0	0	3081749	34919	0	0	99321	0	0	3937	0	0	129438	106011	788817	56001	0	0	787	68342	56079	0	0	162002	0	0	0	0	0	33437	347277	0	0	21022	0	92949	0	0	32267	202515	0	27728	0	0	607014	54089	0	0	0	0	71308	25456	26356	0	0	0	0	0	31604	0	0	0	0	74965	55142	0	499953	0	715	20057	0	0	48287	0	0	45256	0	0	0	645	1595711	0	0	0	0	240347	0	0	587035	128793	0	4431	0	5561	0	0	125216	72732	319883	0	6115	691764	473	430
Dorea formicigenerans	177983	8242	27783	359304	571122	101243	29529	66985	214372	201482	113411	164761	152750	187000	369946	69032	20380	313408	235801	93108	96291	1817651	196618	739956	120840	174400	53320	192812	79217	73667	19485	199930	197525	44625	86277	751637	79363	313289	131888	721087	206208	24467	28300	183970	1046638	55924	236914	337217	531406	87460	180686	297147	455550	51215	426117	791010	45068	353614	74081	120958	55517	44755	21138	131984	443984	365654	0	162160	111628	39698	148131	128544	94684	466845	607077	99762	138252	267834	313107	66746	87468	184546	93504	39052	246925	319019	53393	235181	129646	90506	319713	0	210399	147363	80609	0	214837	15783	127898	60515	341373	307398	207737	102814	117898	61916	133868	173726	0	108709	147290	58556	437954	68131	317152	9215	37001	24593	217462	184087	496477	79401	1303639	478777	188488
Ligilactobacillus ruminis	172240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium bifidum	158288	0	0	0	0	3520	0	0	379896	0	0	0	0	0	0	0	0	9176	0	0	0	0	20844	0	53474	0	0	0	0	0	0	105164	0	0	0	0	327185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114470	0	0	0	0	0	0	54262	0	220985	0	282500	367048	339143	0	0	0	0	0	53204	0	921831	0	42932	0	0	0	0	0	8949	0	0	0	747364	0	0	0	874	0	0	96199	0	92317	0	0	0	50245	0	128643	0	0	0	0	0	0	0	0	0	58557	0	559044	1967870	0	0	107674	281163	93527	0	0	0	0	2914441	0
Phocaeicola massiliensis	157644	0	0	0	0	103173	102633	183404	553268	199708	0	670183	0	0	0	279511	26187	0	0	55470	0	167521	1313766	0	0	0	0	0	39635	12217	0	193601	30577	0	1638878	0	165446	0	0	0	0	0	0	0	2063	152269	0	685503	0	64840	0	32150	559461	0	5727	0	27373	0	0	2574045	0	0	57979	45552	294949	0	0	0	0	146540	190863	0	379238	0	0	924488	0	0	924976	0	256342	0	209937	174324	0	0	24815	0	12578	0	90863	0	184157	0	0	0	0	0	462971	0	0	0	0	0	0	0	96828	0	0	0	137561	0	3500595	0	0	0	0	0	0	0	2138911	0	0	0	0
Coprococcus comes	155928	63711	17459	397083	1053319	316372	776389	128561	482395	385891	265535	234860	216650	363828	773441	70420	154740	999445	152482	1078100	145070	621476	2424	0	84341	510270	818411	266062	273725	316253	1212518	1099928	455622	723498	484338	1128745	325752	783300	506261	1929625	376163	79141	157073	183795	698324	130247	200853	1463212	0	1752224	932239	97727	845846	529887	641465	331217	673494	2975342	148368	554690	197873	203363	60588	470716	0	1285974	2939285	411084	586477	21242	160366	254315	340569	1591041	0	1305878	0	295930	779036	522519	302596	435587	289069	0	315157	0	911652	318276	0	213261	812997	98225	205895	175545	229065	624458	766695	72560	526849	404909	474743	472189	0	564810	130981	262124	202803	394584	5290	546346	154225	260520	316333	73613	352717	378486	780873	2262907	27401	64289	806671	453427	577846	1159951	451430
Agathobaculum butyriciproducens	155920	173507	88464	1769	364088	71156	273524	10499	353450	413027	116417	60908	121804	54942	241792	0	404385	210049	43751	235573	26467	4731	59446	313390	63996	145506	68454	237431	344076	18143	0	142249	11143	125020	109524	238719	193074	23252	254536	496372	259117	78653	51451	111523	0	19609	170286	160742	210930	157662	27325	57843	126336	235387	93417	140350	22767	703722	62750	129974	227839	19932	279760	418770	356945	239199	108412	136455	69161	53369	30876	64543	269160	86326	318170	136033	118560	96470	412346	58407	65801	278050	110334	143779	47333	20223	172515	197705	266764	226735	197003	23534	141550	39290	0	70061	78560	24719	169771	30807	248219	154785	151385	17782	837036	259409	103864	98352	0	246828	144738	186118	347666	279883	178961	21685	189858	70176	276112	62249	2951629	2579009	232590	1489362	490011
Eubacterium ramulus	128031	2258	2654	195575	967438	0	0	4350	0	106056	132217	11237	164812	346297	88816	23881	77090	321038	41208	149931	78657	151590	7943	106120	18137	77187	71338	100063	49543	18529	165626	48811	19554	203271	36437	447884	43866	117979	0	418600	163909	38389	9933	4468	0	20684	45953	499753	0	166242	53546	60427	65459	137260	81804	207338	310415	421703	73059	70892	35330	2648	15685	0	0	0	0	112682	2314	13909	44809	43389	125323	254268	0	328182	0	166320	43393	0	18749	17570	38167	147541	138928	0	0	242783	4919	26294	172184	8552	84072	55552	42577	68559	45848	11657	95941	36703	261863	45385	0	54591	15129	47796	0	96640	0	106203	18953	22415	493104	3218	383456	8785	0	300392	0	75171	1750297	8479	461569	453939	164946
Gemmiger formicilis	124932	90743	138488	69689	29652	31189	1912	11365	60934	112843	22828	377562	316842	0	30657	6843	38616	132910	19855	262086	7389	0	0	76044	69232	55127	22917	26771	36506	44779	44865	88250	153778	24379	30985	112905	271263	260302	6586	141819	23060	19035	46963	207843	0	68112	62744	45001	0	12359	235614	79402	17449	13858	408576	74189	131019	1086687	89586	196713	34648	185649	147109	0	170252	540031	0	126474	262825	20602	5175	72893	119349	256558	155049	15159	0	119452	3872	60681	72913	29337	664	0	3094	0	993332	96520	52922	202357	4392	0	83933	100008	83879	2532	85157	24176	66164	132920	5150	95033	0	143613	235542	137933	63154	106984	1339	285206	67668	17829	386404	292281	286941	12004	103717	8574	0	17019	1543857	827242	1287483	527329	714635
