RowNames	CCMD10032470ST.11.0	CCMD10191450ST.11.0	CCMD11006829ST.21.0	CCMD12232071ST.21.0	CCMD13071240ST.21.0	CCMD13934959ST.21.0	CCMD14479708ST.21.0	CCMD15562448ST.11.0	CCMD17410933ST.11.0	CCMD18579000ST.11.0	CCMD18829815ST.11.0	CCMD18872694ST.21.0	CCMD19168690ST.11.0	CCMD19497912ST.21.0	CCMD21593359ST.11.0	CCMD21703880ST.11.0	CCMD22852639ST.11.0	CCMD23101338ST.21.0	CCMD23541216ST.11.0	CCMD25475945ST.11.0	CCMD25511638ST.21.0	CCMD25963797ST.21.0	CCMD26625622ST.11.0	CCMD26709089ST.21.0	CCMD26925580ST.21.0	CCMD27463710ST.11.0	CCMD27867141ST.11.0	CCMD28738636ST.11.0	CCMD29706695ST.11.0	CCMD30626189ST.11.0	CCMD30627121ST.11.0	CCMD31009081ST.11.0	CCMD31134579ST.11.0	CCMD32288175ST.11.0	CCMD32965613ST.11.0	CCMD34381688ST.21.0	CCMD35081859ST.11.0	CCMD35633353ST.11.0	CCMD35801800ST.11.0	CCMD35802077ST.21.0	CCMD37575804ST.11.0	CCMD38158721ST.11.0	CCMD39157124ST.11.0	CCMD39882286ST.11.0	CCMD40701343ST.21.0	CCMD41202658ST.11.0	CCMD41521570ST.11.0	CCMD42428553ST.21.0	CCMD42956136ST.11.0	CCMD45004878ST.11.0	CCMD45812507ST.11.0	CCMD45988061ST.21.0	CCMD46222674ST.21.0	CCMD46727384ST.11.0	CCMD46947453ST.21.0	CCMD48236717ST.21.0	CCMD49025643ST.11.0	CCMD49461418ST.11.0	CCMD49942357ST.11.0	CCMD50071957ST.21.0	CCMD50300306ST.11.0	CCMD50529145ST.11.0	CCMD50538120ST.11.0	CCMD51154251ST.11.0	CCMD51228890ST.11.0	CCMD51864103ST.21.0	CCMD52117727ST.11.0	CCMD52145360ST.11.0	CCMD53508245ST.11.0	CCMD53522274ST.11.0	CCMD54057834ST.11.0	CCMD56948710ST.11.0	CCMD59540613ST.11.0	CCMD59583015ST.11.0	CCMD60079086ST.21.0	CCMD63399960ST.21.0	CCMD64503764ST.21.0	CCMD64776337ST.21.0	CCMD65222621ST.11.0	CCMD65406197ST.11.0	CCMD66848156ST.11.0	CCMD67373733ST.11.0	CCMD68973846ST.11.0	CCMD71242853ST.11.0	CCMD71915439ST.11.0	CCMD72666896ST.11.0	CCMD72690923ST.11.0	CCMD72895164ST.21.0	CCMD73128545ST.11.0	CCMD74592084ST.11.0	CCMD74930188ST.21.0	CCMD75147712ST.11.0	CCMD76222476ST.11.0	CCMD76409700ST.11.0	CCMD79349503ST.11.0	CCMD79987997ST.21.0	CCMD82866709ST.21.0	CCMD85481373ST.11.0	CCMD85661207ST.11.0	CCMD86114146ST.21.0	CCMD86707194ST.21.0	CCMD87156761ST.21.0	CCMD88272491ST.21.0	CCMD89107682ST.11.0	CCMD89306485ST.11.0	CCMD89643949ST.11.0	CCMD89967135ST.11.0	CCMD90311071ST.21.0	CCMD92404903ST.11.0	CCMD93344354ST.21.0	CCMD93755960ST.11.0	CCMD95431029ST.11.0	CCMD95433940ST.21.0	CCMD95676152ST.11.0	CCMD96553385ST.21.0	CCMD98198513ST.11.0	CCMD98531134ST.11.0	CCMD98702133ST.11.0	CCMD99440714ST.11.0	CCMD99929634ST.11.0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
Porphyromonas asaccharolytica	0	0	214875	0	1738	0	0	0	0	0	0	44970	0	530689	0	51758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	676788	0	787	0	0	0	0	0	0	0	23260	0	0	0	0	0	0	0	0	0	0	0	662319	0	0	0	0	0	108693	0	0	3332	0	0	0	0	0	0	5903	285571	1092981	2350	0	0	0	0	0	1364642	0	2212	0	0	0	0	0	0	0	0	0	0	0	0	1188	0	0	0	0	3040	0	0	0	0	0	0	88933	0	6390723	0	0	0	0	0	0	0	0	0	0	0
Clostridium bolteae CAG:59	0	0	167088	1958	490823	5736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	839	0	0	0	0	0	0	0	0	0	0	0	885	55447	0	0	0	0	99028	0	0	0	0	0	0	0	0	2582	0	1637	3099	0	0	0	0	0	0	1218	0	0	0	0	3490	0	0	0	0	0	0	14299	0	0	0	53274	0	0	0	0	0	0	0	12456	8681	0	0	0	0	0	0	0	0	0	0	0	0	0	85513	0	0	0	0	1742	0	0	0	0	12090	0	0	0	0	0	0	0	0	304	13601	0	0
Methanobrevibacter smithii	0	0	161956	1129	0	0	336662	0	3425	358061	0	78847	0	0	2094	1310904	16366	261291	27227	0	0	1234901	0	0	0	946863	0	0	681987	0	829980	21705	168587	0	0	0	0	1518979	12130	0	0	64123	98659	121500	0	4933	9901	584654	0	0	0	544506	0	830869	2821	0	0	0	0	26918	0	8130	0	0	52352	0	11374	0	0	0	0	86057	5424	0	54555	0	15373	97526	0	0	100235	201769	0	0	0	0	229547	0	0	0	6427	0	0	56053	8460	0	15173	3923	0	1232870	0	445980	147	0	38721	22028	1189465	0	0	0	0	7784	0	67516	0	0	392390	0	0	1228	0	0	0	0	0
Prevotella oris	0	0	160111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sellimonas intestinalis	0	0	95583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6264	0	0	23028	0	0	0	0	0	0	0	0	6588	0	29575	0	0	0	0	0	0	0	1814	0	0	105234	27721	0	0	0	0	0	0	77483	7091	0	0	0	0	0	0	0	5055	2100	14642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226670	0	0	0	0	123251	0	2628	0	0	0	0	960	0	97058	44241	2710	0	0	16113	0	0	0
Gemella morbillorum	0	0	93905	0	774	0	0	0	0	0	0	89763	0	26965	634230	28611	0	0	0	0	3107	0	0	0	0	1942	0	0	0	0	0	0	0	0	0	22649	0	0	0	2499	0	0	0	0	23408	0	0	6587	136967	0	0	0	4708	0	1967	0	0	0	0	106538	0	0	0	0	0	20194	1284	0	0	0	0	0	0	902	0	0	4615	0	3461	0	0	0	0	0	762045	0	3013	0	0	0	0	0	0	0	0	0	42272	0	0	12747	0	0	0	0	0	0	0	0	0	0	0	0	0	2958	0	0	0	0	0	0	0	0	0	0	0
Butyrivibrio crossotus	0	0	87946	0	0	0	0	0	0	0	0	0	0	0	0	0	242381	28398555	7007117	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	7271246	0	0	0	0	11565	0	0	0	8660841	0	0	0	0	0	0	0	48364	14840	0	50771	0	0	0	0	0	0	319559	1307555	0	0	0	0	0	0	0	0	1258773	0	0	0	0	0	0	0	0	0	1397402	0	0	0	0	9101539	0	0	0	0	0	0	0	0	0	2691	0	0	0	0	19166055	0	0	0	0	0	0	0	0	0	0	0	0	230853	0	0	0	0	0	0	0	0	0	0
Blautia hydrogenotrophica	0	0	82530	37334	22612	12743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3500	0	0	0	0	1701	7479	0	0	0	0	10594	0	0	0	0	0	0	0	0	5431	0	181	0	0	0	0	1213	0	0	2270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1175	20689	0	0	0	0	89555	92386	0	0	0	0	0	0	0	0	0	30495	0	0	0	0	0	0	0	0	0	0	0	0	0	838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterocloster lavalensis	0	0	74694	4921	24071	155	103923	0	0	0	0	0	0	0	0	0	23990	0	0	0	31653	68658	1177	20782	0	0	13869	0	0	0	0	0	0	0	0	6454	0	358	0	0	0	0	0	0	119067	0	0	304	0	0	0	0	0	0	0	0	9640	0	0	0	0	0	0	1505	0	6859	2864	0	0	0	0	0	0	0	17185	3644	7155	0	362	0	0	0	0	0	0	0	0	441	13701	0	0	0	0	0	406	1342406	0	0	0	0	0	0	10889	0	0	0	0	0	0	0	0	0	0	9836	0	0	0	0	0	0	0	0	89	0	0
Slackia exigua	0	0	70880	0	0	0	0	0	0	0	0	0	0	0	263100	2980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
