index	cluster95	Domain	phylum	class	order	family	genus	species	subspecies	Label
0921001001	0921	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	Sutterella wadsworthensis	001001	Sutterella wadsworthensis 001001
0921001002	0921	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	Sutterella wadsworthensis	001002	Sutterella wadsworthensis 001002
0924001005	0924	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp000436475	001005	Lachnospira sp000436475 001005
0924001001	0924	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp000436475	001001	Lachnospira sp000436475 001001
0924001004	0924	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp000436475	001004	Lachnospira sp000436475 001004
0924001003	0924	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp000436475	001003	Lachnospira sp000436475 001003
0925001001	0925	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		001001	Collinsella 001001
0934001001	0934	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	CAG-110 sp900546075	001001	CAG-110 sp900546075 001001
0942001002	0942	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp900546835	001002	UBA7173 sp900546835 001002
0944001001	0944	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		001001	Collinsella 001001
0945001001	0945	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis	001001	Anaerotruncus colihominis 001001
0945001002	0945	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis	001002	Anaerotruncus colihominis 001002
0953001001	0953	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900552735	001001	Collinsella sp900552735 001001
0961001003	0961	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella	Paraprevotella xylaniphila	001003	Paraprevotella xylaniphila 001003
0961001002	0961	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella	Paraprevotella xylaniphila	001002	Paraprevotella xylaniphila 001002
0963001005	0963	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	CAG-196	CAG-196 sp002102975	001005	CAG-196 sp002102975 001005
0963001003	0963	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	CAG-196	CAG-196 sp002102975	001003	CAG-196 sp002102975 001003
0973001002	0973	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900541745	001002	Collinsella sp900541745 001002
0976001001	0976	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp900290115	001001	Alistipes sp900290115 001001
0977001002	0977	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas funiformis	001002	Megamonas funiformis 001002
0977001001	0977	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas funiformis	001001	Megamonas funiformis 001001
0991001002	0991	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	Sellimonas sp002161525	001002	Sellimonas sp002161525 001002
0991001001	0991	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	Sellimonas sp002161525	001001	Sellimonas sp002161525 001001
0998001001	0998	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis	001001	Streptococcus parasanguinis 001001
1005001001	1005	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus sp000435195	001001	Negativibacillus sp000435195 001001
1005001002	1005	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus sp000435195	001002	Negativibacillus sp000435195 001002
1005001003	1005	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus sp000435195	001003	Negativibacillus sp000435195 001003
1010001002	1010	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A sp900240235	001002	Alistipes_A sp900240235 001002
1010001001	1010	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A sp900240235	001001	Alistipes_A sp900240235 001001
1012001001	1012	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp900313295	001001	CAG-83 sp900313295 001001
1012001002	1012	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp900313295	001002	CAG-83 sp900313295 001002
1014001001	1014	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania massiliensis	001001	Holdemania massiliensis 001001
1014001002	1014	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania massiliensis	001002	Holdemania massiliensis 001002
1014001003	1014	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania massiliensis	001003	Holdemania massiliensis 001003
1020001002	1020	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus rubiinfantis	001002	Anaerotruncus rubiinfantis 001002
1020001001	1020	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus rubiinfantis	001001	Anaerotruncus rubiinfantis 001001
1023001001	1023	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	UBA9502 sp900540335	001001	UBA9502 sp900540335 001001
1032001001	1032	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides massiliensis	001001	Bacteroides massiliensis 001001
1032001002	1032	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides massiliensis	001002	Bacteroides massiliensis 001002
1033001001	1033	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA2882	UBA2882 sp900549665	001001	UBA2882 sp900549665 001001
1035001002	1035	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	TF01-11 sp003524945	001002	TF01-11 sp003524945 001002
1035001001	1035	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	TF01-11 sp003524945	001001	TF01-11 sp003524945 001001
1044001001	1044	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp900541585	001001	Alistipes sp900541585 001001
1048001003	1048	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena caecimuris	001003	Longicatena caecimuris 001003
1048001001	1048	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena caecimuris	001001	Longicatena caecimuris 001001
1048001002	1048	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena caecimuris	001002	Longicatena caecimuris 001002
1048001005	1048	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena caecimuris	001005	Longicatena caecimuris 001005
1054001003	1054	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula_A	001003	Veillonella parvula_A 001003
1054001001	1054	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula_A	001001	Veillonella parvula_A 001001
1054001002	1054	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula_A	001002	Veillonella parvula_A 001002
1055001001	1055	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G sp900548465	001001	Eubacterium_G sp900548465 001001
1058001001	1058	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila sp900550745	001001	Bilophila sp900550745 001001
1072001003	1072	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis_A	001003	Bacteroides intestinalis_A 001003
1072001002	1072	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis_A	001002	Bacteroides intestinalis_A 001002
1072001001	1072	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis_A	001001	Bacteroides intestinalis_A 001001
1073001001	1073	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	001001	Akkermansia muciniphila 001001
1073001002	1073	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	001002	Akkermansia muciniphila 001002
1080001002	1080	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp900541955	001002	Blautia sp900541955 001002
1092001002	1092	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-138	SFEL01	SFEL01 sp004557245	001002	SFEL01 sp004557245 001002
1092001001	1092	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-138	SFEL01	SFEL01 sp004557245	001001	SFEL01 sp004557245 001001
1106001001	1106	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	ER4	ER4 sp900546295	001001	ER4 sp900546295 001001
1108001001	1108	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor sp002161085	001001	Flavonifractor sp002161085 001001
1113001001	1113	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter		001001	Agathobacter 001001
1114001001	1114	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Fournierella	Fournierella massiliensis	001001	Fournierella massiliensis 001001
1117001001	1117	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Anaeromassilibacillus	Anaeromassilibacillus sp002159845	001001	Anaeromassilibacillus sp002159845 001001
1117001002	1117	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Anaeromassilibacillus	Anaeromassilibacillus sp002159845	001002	Anaeromassilibacillus sp002159845 001002
1118001002	1118	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus ruminis	001002	Ligilactobacillus ruminis 001002
1123001003	1123	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A succinatutens	001003	Phascolarctobacterium_A succinatutens 001003
1123001002	1123	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A succinatutens	001002	Phascolarctobacterium_A succinatutens 001002
1127001001	1127	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900557035	001001	Prevotella sp900557035 001001
1129001003	1129	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Pseudoflavonifractor		001003	Pseudoflavonifractor 001003
1129001002	1129	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Pseudoflavonifractor		001002	Pseudoflavonifractor 001002
1129001001	1129	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Pseudoflavonifractor		001001	Pseudoflavonifractor 001001
1132001001	1132	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp900550585	001001	CAG-83 sp900550585 001001
1136001002	1136	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A succinatutens_A	001002	Phascolarctobacterium_A succinatutens_A 001002
1136001001	1136	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A succinatutens_A	001001	Phascolarctobacterium_A succinatutens_A 001001
1137001001	1137	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Evtepia	Evtepia gabavorous	001001	Evtepia gabavorous 001001
1138001001	1138	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900544825	001001	Prevotella sp900544825 001001
1145001001	1145	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS966	UMGS966 sp900547185	001001	UMGS966 sp900547185 001001
