"species"	"mean_effect_size"	"ci_lower"	"ci_upper"	"p_value"	"p_value_adj"
"0517001001"	-0.0127896045263955	-0.197628606368152	0.172049397315361	0.892124692866659	0.9644819860809
"0218001001"	0.090020895097697	-0.11150214496927	0.291543935164664	0.381290330638937	0.664694987407058
"0216001003"	-0.141236187869372	-0.261922802973707	-0.0205495727650377	0.0218082356718933	0.153844108120636
"0991001001"	0.181068123489468	-0.0323030754983515	0.394439322477287	0.0962648840246428	0.350909342970686
"0045001003"	-0.00077588657625053	-0.177341523762384	0.175789750609883	0.993128131577034	0.998871016148293
"1129001002"	0.256946856626758	0.13601704967164	0.377876663581875	3.1209891755526e-05	0.00177051115104786
"2519001001"	-0.116579985429292	-0.370305734048729	0.137145763190146	0.367827944155718	0.652505206472977
"0057001003"	-0.103446722780423	-0.297808656854741	0.0909152112938943	0.29687120381883	0.593630627317777
"0918001002"	0.0917477910578707	-0.0610804024722243	0.244575984587966	0.239342881840703	0.549519955524649
"1907001001"	-0.0370364107763646	-0.157585131104871	0.083512309552142	0.54706535400989	0.781153098567872
"1568001002"	-0.054872748008195	-0.185213318809336	0.0754678227929462	0.409294763973974	0.684665181164143
"1612001001"	0.316089973259094	0.113626697873797	0.518553248644392	0.00221383204282354	0.0342258142480337
"1844001001"	-0.109335516732923	-0.229957323560899	0.0112862900950536	0.0756382075582863	0.309600849042366
"0018001001"	0.0477503037875223	-0.102842119292563	0.198342726867607	0.534289542829842	0.772634320300403
"0136001002"	0.302585174328017	0.167089060884036	0.438081287771998	1.20366518900128e-05	0.00079940983162207
"0961001002"	-0.076774134328977	-0.267258296217212	0.113710027559258	0.429552141690284	0.697367556825179
"1749001003"	0.149924891491411	0.0292486063193857	0.270601176663437	0.0148915737177095	0.123908386236654
"0417001001"	0.0576426214647227	-0.103699823476199	0.218985066405645	0.483781195295493	0.735531097034968
"0290001001"	0.000405516766901661	-0.120108318861075	0.120919352394878	0.994737926489344	0.999383256200654
"1802001001"	0.0734574778391473	-0.107277026357703	0.254191982035997	0.425680468638146	0.69488255066406
"0554001001"	0.017572039049191	-0.110595297992035	0.145739376090417	0.788148541339529	0.928375061108668
"0379001001"	0.0485676726217222	-0.155171484772157	0.252306830015601	0.640342907177137	0.835083207013096
"0200001001"	-0.0189076001495696	-0.209702583889633	0.171887383590493	0.845995360038331	0.949174027764473
"1483001002"	0.206743266993937	0.0592506127572939	0.35423592123058	0.0060084680204468	0.0673294585171878
"0162001001"	-0.281355617608719	-0.466973674249601	-0.095737560967837	0.00296958696847413	0.0414761391725639
"0103001002"	-0.0762956263405753	-0.196843651409441	0.0442523987282901	0.21480015899207	0.523694155955362
"2107001001"	-0.33047925179294	-0.506757964770907	-0.154200538814973	0.000238361709412562	0.00791535286256595
"0322001002"	0.0964709483186407	-0.0845935876320936	0.277535484269375	0.296362222347819	0.593630627317777
"0446001001"	0.0250733213143376	-0.18882384934572	0.238970491974395	0.818286287403936	0.935973598286467
"0005001002"	-0.239226773490511	-0.36017794273953	-0.118275604241492	0.000105938672052993	0.00443801544615847
"1354001002"	0.2840891579769	0.066798237939588	0.501380078014213	0.0103926359403718	0.0972479301224486
"2576001001"	0.0355968806242854	-0.117923614103214	0.189117375351785	0.649499275886783	0.84196429931006
"0953001001"	0.0887312401269744	-0.0471414447362166	0.224603924990165	0.200563259738756	0.509093953154832
"4698001003"	0.131305115770467	-0.0428224187358799	0.305432650276814	0.139418843190028	0.432415613619785
"4451001002"	NA	NA	NA	NA	NA
"3933001001"	-0.00604946111638565	-0.165530865161325	0.153431942928553	0.940735467480962	0.987809032575475
"0517001004"	0.08169909400211	-0.107622317791405	0.271020505795625	0.397666589697394	0.675584541003305
"4588001002"	0.322761778194226	0.196621441138264	0.448902115250189	5.30166953845952e-07	9.02277884576579e-05
"1506001001"	0.171241717372881	-0.00937210886510537	0.351855543610867	0.0631319833527329	0.275242686400945
"1362001003"	0.109140522252498	-0.0864175190741959	0.304698563579193	0.274020032061289	0.584110803399018
"0431001001"	0.0249504472492103	-0.177926441422278	0.227827335920699	0.809522079523346	0.934734644453692
"0097001001"	-0.28670102241794	-0.493074509231394	-0.0803275356044852	0.00647217880422537	0.0707183727053082
"0130001001"	0.278287212300588	0.0610146575482976	0.495559767052879	0.0120607219142967	0.107839340366513
"0203001002"	-0.275485155714547	-0.457624379886809	-0.0933459315422852	0.00303233386211922	0.0419139345510185
"0514001001"	0.0446113745343868	-0.134038211729195	0.223260960797969	0.624536428074112	0.826886460633974
"1703001001"	-0.18776931613264	-0.308516046037465	-0.0670225862278146	0.00230464771226389	0.0346715785662684
"2756001002"	0.192660258169345	0.0718673724715478	0.313453143867142	0.00177158623390495	0.0305318311071087
"0239001001"	-0.0916057212537065	-0.228265165762754	0.0450537232553405	0.188911704181962	0.496481560763169
"1108001001"	0.269772060345115	0.0482007044247324	0.491343416265498	0.017017233238316	0.134985869212916
"0068001003"	0.0239249672729667	-0.100636128664253	0.148486063210187	0.706576116900915	0.876940185196532
"0316001005"	-0.160090522061673	-0.280832527477549	-0.0393485166457979	0.00935788514765545	0.0899507561360564
"1489001002"	0.16116974659041	0.0404822928548518	0.281857200325968	0.00886033975610801	0.0867867091938206
"1953001004"	NA	NA	NA	NA	NA
"2787001001"	-0.21864087117879	-0.38835748395454	-0.048924258403041	0.0115710344418824	0.104677497625401
"0136001004"	0.176618211658028	0.0558511345430259	0.29738528877303	0.00415184680083486	0.0518599946728135
"0246001002"	0.0652797240048914	-0.0551600562609519	0.185719504270735	0.288089229885526	0.592497713729825
"0203001001"	-0.27419475577313	-0.395263558749745	-0.153125952796515	9.04214209240946e-06	0.000647940866253447
"1794001001"	0.0681871390512408	-0.0524334241888187	0.1888077022913	0.267873442868781	0.577130411030726
"2625001001"	-0.117489769384599	-0.291579982759836	0.0566004439906374	0.185922567913296	0.49521711957588
"4273001002"	0.0946759004731159	-0.0793617429293222	0.268713543875554	0.286326958509132	0.591105616391483
"1248001001"	0.207744345691748	0.000960404968385453	0.414528286415111	0.0489453967776539	0.240430090286995
"0109001002"	0.186342802481859	0.0655903683600429	0.307095236603674	0.00248980084112675	0.0366471767048007
"1495001002"	0.0959388175572974	-0.0806404499085095	0.272518085023104	0.286927938136127	0.591449489435787
"1012001001"	0.150948126784395	0.0263492496625341	0.275547003906256	0.0175754647260539	0.135960200139332
"0393001001"	0.0389145247517817	-0.0849740134232303	0.162803062926794	0.538130400931264	0.775855326627583
"0095001002"	0.276766094060031	0.126626011351097	0.426906176768965	0.000302710034647141	0.00947447614188697
"0130001003"	0.136962372857496	-0.0416350485112414	0.315559794226234	0.132825481242499	0.421532830485657
"1993001001"	0.226855256347262	0.0564399814637986	0.397270531230726	0.0090784385702444	0.087973623582831
"0055001001"	-0.188235239516783	-0.394146897329099	0.0176764182955329	0.07317918772071	0.30329821638279
"1072001002"	0.120251258242314	-0.0116939367619554	0.252196453246584	0.0740575244489147	0.305521358666363
"2251001001"	0.0493390539913696	-0.0750346918475916	0.173712799830331	0.436853490427436	0.704293697118951
"0696001001"	-0.111113143556774	-0.231771911580308	0.00954562446675887	0.071089360026309	0.297352269357357
"0192001001"	0.0281951468201096	-0.143493641673323	0.199883935313542	0.747551172643255	0.904419587148274
"0254001001"	-0.276779890071595	-0.458505347832957	-0.0950544323102333	0.0028343487989659	0.0406206935767587
"0140001001"	-0.155309381234428	-0.33283580668949	0.0222170442206332	0.0864041371294993	0.330250828879169
"0085001001"	-0.221008880672065	-0.435392080533039	-0.0066256808110916	0.0433275911344098	0.22528520623823
"0243001002"	-0.302309125186059	-0.498610574724242	-0.106007675647875	0.00254118795794096	0.0372024452122217
"0497001001"	-0.041449186227946	-0.168037324527335	0.0851389520714429	0.521030520063029	0.764421393389886
"0428001001"	-0.183264815418221	-0.349217546452396	-0.0173120843840472	0.0304316553948318	0.183737023592299
