"species"	"mean_effect_size"	"ci_lower"	"ci_upper"	"p_value"	"p_value_adj"
"0517001001"	-0.0128177037491338	-0.191704315643985	0.166068908145717	0.888314996921616	0.967307676282649
"0218001001"	0.0898607744903741	-0.10436060788021	0.284082156860958	0.364501861978748	0.660388776359118
"0216001003"	-0.141623469753375	-0.262930233100795	-0.0203167064059558	0.022124550367271	0.157630238071232
"0991001001"	0.183100076892375	-0.0380918709567715	0.404292024741522	0.104710241734925	0.372055092593577
"0045001003"	-0.00159494101262617	-0.182177027292233	0.178987145266981	0.986188640747075	0.997461446006352
"1129001002"	0.256946856626758	0.13601704967164	0.377876663581875	3.1209891755526e-05	0.00158534690898903
"2519001001"	-0.115040384347696	-0.363822685010974	0.133741916315582	0.364769405106859	0.66043727934529
"0057001003"	-0.103898805308607	-0.299920446940064	0.0921228363228503	0.298872524169459	0.602721397591086
"0918001002"	0.0790977331859701	-0.0982630743894092	0.256458540761349	0.382071085040591	0.673924862940495
"1907001001"	-0.0314390939325851	-0.163266068023357	0.100387880158187	0.640194383008443	0.844835241929429
"1568001002"	-0.0466985509310219	-0.167232059170518	0.0738349573084738	0.447641436356758	0.714270113894744
"1612001001"	0.317799965781473	0.110901206852967	0.524698724709979	0.00260785682153075	0.0379068784543516
"1844001001"	-0.109337636111788	-0.229954740366798	0.0112794681432212	0.0756211338410135	0.311473745755976
"0018001001"	0.0405440467832627	-0.100570876170126	0.181658969736652	0.573352034409992	0.808625010926673
"0136001002"	0.31076759788391	0.142763477376203	0.478771718391617	0.000288440363563637	0.00879102130283396
"0961001002"	-0.0766026658063166	-0.272155217345893	0.118949885733259	0.442626625116931	0.711743165307249
"1749001003"	0.14992104893556	0.0292490734667295	0.270593024404391	0.0148905632692958	0.124907691277304
"0417001001"	0.058251985403829	-0.101910024994533	0.218413995802191	0.475937406011225	0.734663086487783
"0290001001"	0.000405516766901661	-0.120108318861075	0.120919352394878	0.994737926489344	0.999474773758341
"1802001001"	0.0735514622768486	-0.105391040039998	0.252493964593695	0.420466636806907	0.69688216601894
"0554001001"	0.017572039049191	-0.110595297992035	0.145739376090417	0.788148541339529	0.927054652184532
"0379001001"	0.0483056874621651	-0.15429508116673	0.25090645609106	0.640277952905915	0.844835241929429
"0200001001"	-0.0187368385573704	-0.20906007743156	0.171586400316819	0.846995411268123	0.954130765136945
"1483001002"	0.211949919322969	0.0494564724791076	0.37444336616683	0.0105731610564178	0.101406226495643
"0162001001"	-0.280427717029068	-0.464159508211118	-0.0966959258470183	0.00277637399236893	0.0396645513597291
"0103001002"	-0.0762956263405753	-0.196843651409441	0.0442523987282901	0.21480015899207	0.530807960464186
"2107001001"	-0.330578807331514	-0.506986419025118	-0.15417119563791	0.000239839748846884	0.0078319098938929
"0322001002"	0.0964846642336166	-0.0847343376145315	0.277703666081765	0.296705443246243	0.602308315014468
"0446001001"	0.0250790818945966	-0.179979596354978	0.230137760144172	0.810557042351827	0.937274087651296
"0005001002"	-0.239226773490511	-0.36017794273953	-0.118275604241492	0.000105938672052993	0.00433716085733373
"1354001002"	0.28619594151512	0.0602486821807394	0.512143200849501	0.0130432198091504	0.115480573163629
"2576001001"	0.0443710126673101	-0.098720716624698	0.187462741959318	0.543345932693098	0.783183338611228
"0953001001"	0.106032404039688	-0.0145752542917231	0.2266400623711	0.0848694878316797	0.329740800456512
"4698001003"	0.131305115770467	-0.0428224187358799	0.305432650276814	0.139418843190028	0.436061444549881
"4451001002"	NA	NA	NA	NA	NA
"3933001001"	-0.00604946111638565	-0.165530865161325	0.153431942928553	0.940735467480962	0.989443926771859
"0517001004"	0.0814978495405235	-0.101599043131878	0.264594742212925	0.382992819347365	0.674726591823906
"4588001002"	0.318344533045106	0.197096730140842	0.43959233594937	2.66068720812655e-07	4.56141563243196e-05
"1506001001"	0.171787542984522	-0.00583511881392945	0.349410204782973	0.0580160271649531	0.26725886818357
"1362001003"	0.108562451934211	-0.0847019450371201	0.301826848905543	0.270909280092419	0.586976893952915
"0431001001"	0.0244756208998784	-0.179593280806688	0.228544522606445	0.814151136795426	0.937274087651296
"0097001001"	-0.291188513768295	-0.512266677895614	-0.0701103496409768	0.00983646191395903	0.0953406891519067
"0130001001"	0.278184264775334	0.0587646529545793	0.497603876596089	0.0129595551299881	0.115415778316745
"0203001002"	-0.274308605832169	-0.452920795747183	-0.0956964159171561	0.00261188480782809	0.0379068784543516
"0514001001"	0.0457535808079375	-0.131418277370453	0.222925438986328	0.612752007935365	0.828798688835041
"1703001001"	-0.18776931613264	-0.308516046037465	-0.0670225862278146	0.00230464771226389	0.0359184583792037
"2756001002"	0.192660258169345	0.0718673724715478	0.313453143867142	0.00177158623390495	0.0301829878236104
"0239001001"	-0.0744348903432438	-0.194984572123017	0.0461147914365292	0.226200632588333	0.542367425865207
"1108001001"	0.269687099406754	0.0451408230981568	0.494233375715352	0.0185737086521553	0.139992479968172
"0068001003"	0.0208741523578173	-0.099653449705289	0.141401754420924	0.734273930239228	0.903189861276324
"0316001005"	-0.159279873265808	-0.285767223156434	-0.0327925233751823	0.0135834207077402	0.117909250004213
"1489001002"	0.161166029115037	0.0404837298177273	0.281848328412346	0.00885900503374594	0.0877265372114264
"1953001004"	0.0724904170698932	-0.0480447199812162	0.193025554121003	0.238504963600958	0.553504826387073
"2787001001"	-0.217909422138487	-0.385462720697055	-0.0503561235799188	0.010802996845134	0.10183031046805
"0136001004"	0.176617222060102	0.0558522062791417	0.297382237841062	0.00415141573939205	0.0532118381923009
"0246001002"	0.0652797240048914	-0.0551600562609519	0.185719504270735	0.288089229885526	0.596399062321508
"0203001001"	-0.27419475577313	-0.395263558749745	-0.153125952796515	9.04214209240946e-06	0.000635963993832799
"1794001001"	0.0683315146428254	-0.073743742038329	0.21040677132398	0.345859714719402	0.645558471487949
"2625001001"	-0.117489769384599	-0.291579982759836	0.0566004439906374	0.185922567913296	0.49858449949518
"4273001002"	0.0946759004731159	-0.0793617429293222	0.268713543875554	0.286326958509132	0.596399062321508
"1248001001"	0.207505389860438	0.0067093134129175	0.408301466307958	0.0428208314641098	0.22673140846074
"0109001002"	0.186342802481859	0.0655903683600429	0.307095236603674	0.00248980084112675	0.0369163443633009
"1495001002"	0.0938184313669231	-0.078533614831199	0.266170477565045	0.286021322356114	0.596399062321508
"1012001001"	0.155444703665827	0.0063859359909087	0.304503471340746	0.0409602417077669	0.219982671630222
"0393001001"	0.0445090090507448	-0.0889005868182909	0.177918604919781	0.513178552179516	0.759874462436218
"0095001002"	0.27775043139229	0.126445982994687	0.429054879789893	0.000320775983237459	0.00952989065370725
"0130001003"	0.137225521760672	-0.0429646024433678	0.317415645964712	0.13553421810972	0.430788366483154
"1993001001"	0.227259724160548	0.0527814181523844	0.401738030168713	0.0106838588825872	0.1015432683266
"0055001001"	-0.188753520586079	-0.388334773169666	0.0108277319975085	0.0637918937268752	0.280418532841056
"1072001002"	0.123422342500292	-0.00361037065147926	0.250455055652064	0.0568762983123896	0.266533453895947
"2251001001"	0.0533403002912409	-0.0671849121441495	0.173865512726631	0.385716073225331	0.675618894544754
"0696001001"	-0.111250883038446	-0.250592361790893	0.0280905957140006	0.117619412812135	0.395911054947358
"0192001001"	0.0252950792992158	-0.139952278571063	0.190542437169495	0.764162213557368	0.918285055963224
"0254001001"	-0.277561282729681	-0.462254829798605	-0.0928677356607573	0.00322459814234741	0.0446720843659543
"0140001001"	-0.154931436352291	-0.331728935274576	0.0218660625699937	0.0858771875194479	0.331971666498719
"0085001001"	-0.225277817376401	-0.448993859373826	-0.00156177537897703	0.0484219395710217	0.244579603957524
"0243001002"	-0.301856770417311	-0.496838231402758	-0.106875309431863	0.00241110328220222	0.036742535017115
"0497001001"	-0.0453677345817132	-0.177589217345818	0.0868537481823914	0.501264580097945	0.751349040004733
"0428001001"	-0.18376917828497	-0.351294298222331	-0.0162440583476094	0.0315542879074013	0.191067134061814
"0111001001"	-0.127522478412144	-0.362381837363238	0.10733688053895	0.287233989593111	0.596399062321508
"0601001001"	0.00889363701687258	-0.111609941842822	0.129397215876567	0.884984822762585	0.965739054760703
"0333001001"	-0.172892441160662	-0.37479524878592	0.0290103664645952	0.0932793908834669	0.348462036340365
"2089001004"	-0.0360885061077028	-0.219674327522643	0.147497315307238	0.700029061865534	0.875929158981311
"0861001001"	0.0531069964382736	-0.0921206091624017	0.198334602038949	0.473545731670685	0.73296122910636
"0255001003"	-0.323576457239286	-0.526862746737648	-0.120290167740924	0.00181017283265841	0.0305160772215433
"0601001004"	0.243905662749453	0.086721389840006	0.401089935658899	0.00235550113071703	0.0362985370873978
"0925001001"	0.0766368111982293	-0.0646270146104094	0.217900637006868	0.287647324873643	0.596399062321508
"0066001002"	-0.24188796260814	-0.413369775778374	-0.0704061494379054	0.0056979317332181	0.0648523931295322
"0009001001"	-0.250620037332969	-0.423394958392349	-0.0778451162735885	0.00446852708428433	0.0564846534202393
"0036001002"	-0.284761969910041	-0.529925506828489	-0.0395984329915937	0.0228140490490675	0.160458811645108
"0256001002"	-0.0392141692604694	-0.15972531212645	0.0812969736055112	0.523623584629966	0.76807459499465
"2184001001"	-0.250112468479342	-0.371105296809184	-0.1291196401495	5.08741713712238e-05	0.0024059974495046
"1445001001"	-0.100852308954327	-0.262199963005965	0.0604953450973105	0.220537819940069	0.535819310876408
"0050001001"	-0.208762332378628	-0.32957290088784	-0.0879517638694161	0.000707013564610819	0.0166663515747338
"1736001001"	0.133758857471171	0.0131897280664112	0.254327986875931	0.0296769575715605	0.183342104997276
"0088001005"	0.0108512120310964	-0.137244825414113	0.158947249476306	0.885808908469882	0.965739054760703
"0324001001"	0.432267491926113	0.143808048404993	0.720726935447233	0.00331317683110885	0.0449903170679781
"1347001001"	-0.0320663162971505	-0.214241055459081	0.15010842286478	0.730100395564528	0.900884113825236
"2165001001"	0.129186087754903	0.00854332409336477	0.249828851416441	0.0358381556668495	0.205227684747742
"0038001002"	-0.258271176847606	-0.510899661408825	-0.00564269228638753	0.0450977471434051	0.234286212905985
"1186001002"	0.0212229522229873	-0.120441700532489	0.162887604978464	0.769044802846224	0.918391063413633
"2218001001"	-0.102910293470899	-0.232772813142252	0.0269522262004526	0.120379033526066	0.401513528970975
"3712001001"	0.595081532411853	0.472003574343318	0.718159490480389	2.63157806912708e-21	7.21841864361558e-18
"0143001001"	-0.353664228418707	-0.58930432371992	-0.118024133117494	0.00326475558067366	0.0447761227889393
"2501001002"	-0.384219493526445	-0.554575705284421	-0.213863281768468	9.84815193606978e-06	0.000675337019015985
"1793001002"	-0.0304252873751699	-0.150891537113807	0.0900409623634667	0.620590312423399	0.833284379257387
"1643001001"	0.132071315083078	-0.0997184139698705	0.363861044136026	0.264094145493158	0.579931037342196
"2942001001"	0.241411844145272	0.0420640710958783	0.440759617194666	0.0176188180516685	0.135373719651896
"0108001002"	-0.34530122333451	-0.550452582122262	-0.140149864546757	0.000970574979875522	0.0200171967654027
"0835001002"	0.0145142176391184	-0.105908801072696	0.134937236350933	0.813255399204183	0.937274087651296
"1354001004"	0.224038261165285	-0.0189494505551682	0.467025972885739	0.0707442320431037	0.299000660237648
"2390001002"	0.226547137905165	0.0364087212261569	0.416685554584173	0.019529405246281	0.144839445415355
"1612001002"	0.135520157939898	0.014863963673774	0.256176352206023	0.0277064981236456	0.177153669820886
"1479001001"	0.0820140590889031	-0.038562117837534	0.20259023601534	0.182486742335667	0.493163679041117
"1298001002"	0.158243665352815	-0.0364709707094704	0.3529583014151	0.111193065317484	0.384618635770314
"1278001001"	0.0656422181651503	-0.132031794976829	0.26331623130713	0.515142497251797	0.759874462436218
"1782001001"	0.352503929361843	0.14364173975083	0.561366118972857	0.000939987391481085	0.01971019673897
"0002001008"	0.00198884923609988	-0.129314650314245	0.133292348786444	0.976316279683687	0.996281590233988
"0105001001"	-0.335715656117046	-0.573282431065062	-0.0981488811690292	0.00561065688579832	0.0647726849367172
"3811001002"	0.47751033679654	0.34362668031557	0.61139399327751	2.74063481788814e-12	1.07393732935245e-09
"0285001001"	0.2197300358127	0.0774357070205105	0.362024364604889	0.00247350086431756	0.0369163443633009
"2403001001"	0.188636430488223	0.0339535521578569	0.34331930881859	0.0168399132330851	0.133117815557212
"0174001003"	0.336474718340387	0.164011641872936	0.508937794807839	0.000131367187803021	0.00502178128329809
